instruction,input,output
Terjemahkan ke bahasa Indonesia baku.,Sharelock saja ko di mana bakudapa,Sharelock saja kamu di mana kita ketemuan
Terjemahkan ke bahasa Indonesia baku.,"Ade ko bagus ini ka, sumpah sa mau nikah","Adik kamu cantik sekali, sumpah saya ingin menikah"
Terjemahkan ke bahasa Indonesia baku.,Aman saja mo ngapain mo repot,"Santai saja, mau ngapain repot-repot"
Terjemahkan ke bahasa Indonesia baku.,Tunjangan sampai tua turun dari freeport,Tunjangan dari freeport bakal selalu ada dari freeport sampai tua
Terjemahkan ke bahasa Indonesia baku.,Su pasti ko deng sa barang jalan aman,Sudah pasti kamu dengan saya bakal aman
Terjemahkan ke bahasa Indonesia baku.,"Ko tolong bilang cinta ka tidak, ko cinta ka tidak?","Kamu tinggal bilang cinta atau tidak, cinta atau tidak"
Terjemahkan ke bahasa Indonesia baku.,"Ko tinggal jawab mau ka tidak, oh mau ka tidak?","Kamu tinggal mau jawab atau tidak, oh mau atau tidak"
Terjemahkan ke bahasa Indonesia baku.,Untung ko ladies paling beruntung,Untung kamu wanita paling beruntung
Terjemahkan ke bahasa Indonesia baku.,Sio paling manis saat pakai gaun,Wow paling cantik saat memakai gaun
Terjemahkan ke bahasa Indonesia baku.,"Kaka seng mau sombong, tong kawin ko naik daun","Aku menjadi sombong, kita menikah menjadi lebih baik"
Terjemahkan ke bahasa Indonesia baku.,"Tinggal pilih tempat tong Honeymoon di Paris, di Inggris atau tong di UN","Tinggal pilih tempat bulan madu di Paris, di Inggris atau di UN"
Terjemahkan ke bahasa Indonesia baku.,"Ade ko cantik, pipi congka, hitam manis","Kamu cantik, lesung pipi, hitam manis"
Terjemahkan ke bahasa Indonesia baku.,Kaka su lapis cinta di belis,Saya sudah melapisi cinta di mahar nikah
Terjemahkan ke bahasa Indonesia baku.,"Ko tau aman saja, kaka yang tangkis","Kamu aman saja, ada saya yang selalu ada"
Terjemahkan ke bahasa Indonesia baku.,Beta nikah dinda bulan depan,Saya menikahi dinda bulan depan
Terjemahkan ke bahasa Indonesia baku.,"Lagu babunyi, tong badendang","Lagu berbunyi , gendang berdendang"
Terjemahkan ke bahasa Indonesia baku.,"Enak, play song lagu disko dong","Enak, putar lagu disko lah"
Terjemahkan ke bahasa Indonesia baku.,Mo pesta di kota atau di kampong tong,Mau pesta di Kota atau di Kampung
Terjemahkan ke bahasa Indonesia baku.,"Bilang dong please, tong nikah hari Kamis","Tolong bilang, hari kamis kami nikah"
Terjemahkan ke bahasa Indonesia baku.,"Kan Minggu tong pi Inggris, Selasa lanjut Paris, manis","Minggu kita di Inggris, Selasa Lanjut di Paris"
Terjemahkan ke bahasa Indonesia baku.,Sa tra tau dia ada di mana.,Saya tidak tahu dia ada di mana.
Terjemahkan ke bahasa Indonesia baku.,Ko pung mama ada di rumah,Kamu punya mama ada di rumah?
Terjemahkan ke bahasa Indonesia baku.,Ko bisa bantu sa ka?,Kamu bisa bantu saya ya
Terjemahkan ke bahasa Indonesia baku.,Ade tra tidur dari tadi malam.,Adik tidak tidur dari tadi malam
Terjemahkan ke bahasa Indonesia baku.,Sa tra habis pikir dengan dia le.,Saya tidak habis pikir dengan dia lo
Terjemahkan ke bahasa Indonesia baku.,Ko pung motor su rusak ka?,Kamu punya motor sudah rusak ya?
Terjemahkan ke bahasa Indonesia baku.,Jang bikin sa pusing ko e,Jangan bikin saya pusing kamu y
Terjemahkan ke bahasa Indonesia baku.,Dong su baku pukul di lapangan.,Mereka sudah berkelahi di lapangan
Terjemahkan ke bahasa Indonesia baku.,Dia mo kerja di kota minggu depan.,Dia mau kerja di kota minggu depan.
Terjemahkan ke bahasa Indonesia baku.,Ko tra percaya deng sa ka?,Kamu tidak percaya dengan saya ya
Terjemahkan ke bahasa Indonesia baku.,Ko jangan ambil barang sa sembarang.,Kamu jangan ambil barang saya sembarangan.
Terjemahkan ke bahasa Indonesia baku.,Ko tra bisa tinggal diam saja ka?,Kamu tidak bisa tinggal diam saja ya?
Terjemahkan ke bahasa Indonesia baku.,Ko tra liat kunci motor sa?,Kamu tidak lihat kunci motor saya?
Terjemahkan ke bahasa Indonesia baku.,Sa fly deng anana dong,Saya pergi bersenang-senang dengan mereka
Terjemahkan ke bahasa Indonesia baku.,Semakin ko nekat untuk sey,Kamu makin nekat untuk pergi
Terjemahkan ke bahasa Indonesia baku.,Sa coba mo dekat tambah sey,Saya coba mendekat malah makin jauh
Terjemahkan ke bahasa Indonesia baku.,Ko kas semua ni berantakan,Kamu buat semuanya jadi berantakan
Terjemahkan ke bahasa Indonesia baku.,Antar mendung datang baru ko pi go away,"Setelah datang masalah, kamu langsung pergi"
Terjemahkan ke bahasa Indonesia baku.,Kas patah Anadok pu hati ini tara fine yeah,"Kamu patahkan hati saya, ini tidak baik"
Terjemahkan ke bahasa Indonesia baku.,Akhirnya sa pi fly deng anana,Akhirnya saya pergi bersenang-senang dengan mereka
Terjemahkan ke bahasa Indonesia baku.,Fly kaco tara pusing suasana,"Pergi gila-gilaan, tidak peduli suasana"
Terjemahkan ke bahasa Indonesia baku.,Tapi berubah jadi babi ko,Kamu berubah jadi jahat (kasar)
Terjemahkan ke bahasa Indonesia baku.,Ko pu cara itu keren,Cara kamu itu keren (sindiran)
Terjemahkan ke bahasa Indonesia baku.,Topik kali ini beda andaikan koker,"Kali ini pembahasannya lain, seperti acak"
Terjemahkan ke bahasa Indonesia baku.,Sa tra ke Bong,Saya tidak pergi ke sana
Terjemahkan ke bahasa Indonesia baku.,Kalau cuma fly lupa ko tu tra mungkin,"Meskipun saya mabuk, saya tidak bisa lupakan kamu"
Terjemahkan ke bahasa Indonesia baku.,Di belakang baku jaga e,Saling jaga di belakang (diam-diam)
Terjemahkan ke bahasa Indonesia baku.,Tra lagi sama kini apa yang telah ko buat,Tidak sama lagi sekarang setelah yang kamu lakukan
Terjemahkan ke bahasa Indonesia baku.,Hubungan ni ko yang begitu niat,Hubungan ini dulu kamu yang semangat
Terjemahkan ke bahasa Indonesia baku.,Jadi pedih yang tra muat,Jadi sakit yang tak tertahan
Terjemahkan ke bahasa Indonesia baku.,Tra sama seperti yang pertama sa kenali,Tidak seperti pertama kali saya mengenal kamu
Terjemahkan ke bahasa Indonesia baku.,Kasih patah sa pu hati ulang kali,Kamu hancurkan hati saya berkali-kali
Terjemahkan ke bahasa Indonesia baku.,Apa mungkin semua ini kan berakhir,Apakah semua ini akan berakhir
Terjemahkan ke bahasa Indonesia baku.,Dengan banyak alasan yang ko kasih,Dengan banyak alasan dari kamu
Terjemahkan ke bahasa Indonesia baku.,Kalau memang ko su bosan,Jika memang kamu sudah bosan
Terjemahkan ke bahasa Indonesia baku.,Setidaknya jang kas tinggal tanpa ada penjelasan,Setidaknya jangan tinggal pergi tanpa penjelasan
Terjemahkan ke bahasa Indonesia baku.,Biru yang pucat di tengah panas merahnya jingga,Warna pucat di tengah panas cinta yang membara
Terjemahkan ke bahasa Indonesia baku.,Deng alasan ko mo rehab baby,"Dengan alasan kamu mau pemulihan, sayang"
Terjemahkan ke bahasa Indonesia baku.,Yani teta buai yona,(Tidak dapat diterjemahkan dialek/arti tidak jelas)
Terjemahkan ke bahasa Indonesia baku.,Yanina doni fakor reksoi,(Tidak dapat diterjemahkan dialek/arti tidak jelas)
Terjemahkan ke bahasa Indonesia baku.,Su bukan baru,Ini bukan hal baru lagi
Terjemahkan ke bahasa Indonesia baku.,Ko bikin sa begini terus,Kamu selalu buat saya seperti ini
Terjemahkan ke bahasa Indonesia baku.,Padahal tong dua lagi sayang-sayang,Padahal kita masih saling sayang
Terjemahkan ke bahasa Indonesia baku.,Sa su tau ko ada sembunyi dari,Saya sudah tahu kamu sedang sembunyi dari saya
Terjemahkan ke bahasa Indonesia baku.,Mungkin ini alasan untuk koi cari,Mungkin ini alasan kamu cari-cari
Terjemahkan ke bahasa Indonesia baku.,Snewar sumbereri,(Tidak dapat diterjemahkan mungkin frasa artistik)
Terjemahkan ke bahasa Indonesia baku.,Manseren jaga tong pu tanah ini kasihan,"Manseren, jaga kami sebagai penghuni tanah ini yang penuh kasih"
Terjemahkan ke bahasa Indonesia baku.,Apakah harus tong pergi kas tinggal Papua,Haruskah kita pergi dan meninggalkan Papua?
Terjemahkan ke bahasa Indonesia baku.,"Tra boleh baku marah, pace mace sio kasihan","Kita tidak boleh saling bermusuhan, itu menyakitkan"
Terjemahkan ke bahasa Indonesia baku.,"Biar kulit hitam, putih Tuhan jaga semua","Meski kulit hitam atau putih, Tuhan menjaga semua manusia"
Terjemahkan ke bahasa Indonesia baku.,"Ko deng sa harus strong, jang ko menangis sudah we","Kamu dan saya harus kuat, jangan menangis lagi"
Terjemahkan ke bahasa Indonesia baku.,"Pray to lord, tete manis jaga tong","Doa kepada Tuhan, sungguh indah menjaga kami"
Terjemahkan ke bahasa Indonesia baku.,"Jaga Papua, jaga tong pu tanah Papua","Jaga Papua, jaga kami yang tinggal di tanah Papua"
Terjemahkan ke bahasa Indonesia baku.,"Sa pu nyanyian, sa hibur saudara semua","Saya berbagi nyanyian, menghibur keluarga semua"
Terjemahkan ke bahasa Indonesia baku.,Apakah alam su tra akur sama tong?,Apakah alam ini tidak selaras dengan kita?
Terjemahkan ke bahasa Indonesia baku.,Apakah ini akhir zaman yang kam cerita,Apakah ini akhir zaman seperti yang kamu ceritakan?
Terjemahkan ke bahasa Indonesia baku.,Kasihan sa pu ade dong masih pu cita-cita,Sayang melihat adik-adik masih punya impian
Terjemahkan ke bahasa Indonesia baku.,Dong butuh selimut untuk tutup dong pu dingin,Mereka butuh pelindung untuk menutupi dingin mereka
Terjemahkan ke bahasa Indonesia baku.,"Sa deng ko buka masker, tong berdoa untuk Papua","Saya dan kamu melepaskan topeng, mari berdoa untuk Papua"
Terjemahkan ke bahasa Indonesia baku.,"(Di Bridge) Dengarlah, dengarlah, Tuhan Yesus, mari dengarlah","Suara penuh makna: dengarlah, Tuhan Yesus, mari dengarlah"
Terjemahkan ke bahasa Indonesia baku.,Mereka bernyanyi dengan suara manis merdu,Mereka bernyanyi dengan suara yang merdu dan indah
Terjemahkan ke bahasa Indonesia baku.,"Tra boleh baku marah, pace mace sio kasihan","Tidak boleh saling bermarah, itu menyedihkan"
Terjemahkan ke bahasa Indonesia baku.,"Biar kulit hitam, putih Tuhan jaga semua","Apapun warna kulitmu, Tuhan menjaga semua"
Terjemahkan ke bahasa Indonesia baku.,Ey ye ye beb sa ijin eh,"Halo, izin dulu ya (sapa santai)"
Terjemahkan ke bahasa Indonesia baku.,Ada acax sebelah sana eh,Ada teman di sebelah sana
Terjemahkan ke bahasa Indonesia baku.,Sa mo jalan dengan sa pu teman de,Saya mau jalan dengan temanteman
Terjemahkan ke bahasa Indonesia baku.,De bawa satu botol saja neh,Mereka cuma bawa satu botol saja
Terjemahkan ke bahasa Indonesia baku.,Jang ada slak-slak tahan sa dulu,"Jangan ribet, tahan saya dulu"
Terjemahkan ke bahasa Indonesia baku.,Hanya botol ini yang sa perlu,Hanya botol ini yang saya butuhkan
Terjemahkan ke bahasa Indonesia baku.,Biar jalan kiri kanan tetap sa maju,"Biar kiri kanan, saya tetap maju"
Terjemahkan ke bahasa Indonesia baku.,Ayolah men otw ke situ,"Ayo, kita berangkat ke sana"
Terjemahkan ke bahasa Indonesia baku.,Sa tra suka ko tinggal miras,Saya tidak suka kalau kamu tinggal bersama minuman keras
Terjemahkan ke bahasa Indonesia baku.,Sa mau ko juga peduli,Aku mau kamu juga peduli
Terjemahkan ke bahasa Indonesia baku.,Yang lebih lincah kas nyaman,Yang lebih asyik dan nyaman
Terjemahkan ke bahasa Indonesia baku.,Tambah liar e ko pu laki satu ni,Sikapmu makin menjadi karena satu pria itu
Terjemahkan ke bahasa Indonesia baku.,Su malam begini jang sampe de pi mayari,Malam begini jangan sampai kamu pergi berpesta
Terjemahkan ke bahasa Indonesia baku.,Kapala batu eh tu de mo pigi bagatal,"Pikirannya keras, mereka mau pergi menari?"
Terjemahkan ke bahasa Indonesia baku.,Apa lagi de su mabuk jalan deng de pu anana,Bahkan mereka jalan sambil mabuk bersama teman mereka
Terjemahkan ke bahasa Indonesia baku.,Tetap de kas tinggal ko saja,"Mereka tetap tinggal, kamu saja yang pergi"
Terjemahkan ke bahasa Indonesia baku.,De trakan pusing boh bukan sa mo kompor,"Mereka tidak pusing, bukan aku ingin memicu"
Terjemahkan ke bahasa Indonesia baku.,Sa tra suka ko marah-marah,Saya tidak suka jika kamu marah-marah
Terjemahkan ke bahasa Indonesia baku.,Jadi sa pergi acara,Jadi saya pergi menghadiri acara
Terjemahkan ke bahasa Indonesia baku.,Jadi jalan su deng de muka lucu,Akhirnya aku pergi dengan muka tertawa tapi hati sakit
Terjemahkan ke bahasa Indonesia baku.,Sibuk de punya diri,Kamu terlalu sibuk dengan diri sendiri
Terjemahkan ke bahasa Indonesia baku.,Jii bah dar,Lebih baik pergi dari sini
Terjemahkan ke bahasa Indonesia baku.,Ko rebut juga ko dapat,"Meskipun kamu rebut, kamu tetap dapat"
Terjemahkan ke bahasa Indonesia baku.,Kalo de punya itu su hilang dari lama,Kamu tidak punya itu sejak lama
Terjemahkan ke bahasa Indonesia baku.,Sa tra menyesal karana perem bukan satu,Aku tidak menyesal karena perempuan itu bukan satu-satunya
Terjemahkan ke bahasa Indonesia baku.,Banyak perem dong yang mau,Banyak perempuan yang mau denganku
Terjemahkan ke bahasa Indonesia baku.,Kaya ko yang banyak uang,Kaya seperti kamu yang banyak uang
Terjemahkan ke bahasa Indonesia baku.,Jangan susah tra ganggu,Jangan ganggu jika kamu tidak serius
Terjemahkan ke bahasa Indonesia baku.,Jadi jalan su deng de muka lucu,Jadi jalan dengan wajah konyol
Terjemahkan ke bahasa Indonesia baku.,Ko mulut manis Meri,Kamu punya mulut yang manis Meri
Terjemahkan ke bahasa Indonesia baku.,Ko bikin sa baper sampe cape,Kamu buat aku baper sampai capek
Terjemahkan ke bahasa Indonesia baku.,Trada hujan trada oh,"Tidak ada hujan, tidak ada halangan"
Terjemahkan ke bahasa Indonesia baku.,Trada orang bawa ko,Tidak ada orang yang bawa kamu pergi
Terjemahkan ke bahasa Indonesia baku.,Tong baru baku dapat,Hubungan yang baru saja kita mulai
Terjemahkan ke bahasa Indonesia baku.,Sa su mimpi jauh-jauh,Saya sudah bermimpi jauh dari sini
Terjemahkan ke bahasa Indonesia baku.,Ko datang kini sapu rata,Kamu datang sekarang dan menghancurkan semuanya
Terjemahkan ke bahasa Indonesia baku.,Hati tageser ke lambung,Hati ini terasa seperti diaduk dalam dada
Terjemahkan ke bahasa Indonesia baku.,Ketemu ade nona kaka canggung,"Bertemu adik, nona, kaka terasa canggung"
Terjemahkan ke bahasa Indonesia baku.,Ingin dekat ade polo dolo,Ingin mendekati adik tapi terlalu malu
Terjemahkan ke bahasa Indonesia baku.,"Ada cela sayang, kaka lego","Ada kritik, sayang, kakak lepaskan"
Terjemahkan ke bahasa Indonesia baku.,Sa patokan ini cuma di ko,Saya hanya berharap ini darimu
Terjemahkan ke bahasa Indonesia baku.,Sampe ko hati tu no,Sampai hatimu tahu bahwa aku
Terjemahkan ke bahasa Indonesia baku.,Kalo sa sayang ko su lama tau,"Saat aku mencintaimu, kamu sudah tahu sejak lama"
Terjemahkan ke bahasa Indonesia baku.,Kalo de su deng ko sa malas tau,"Jika dia sudah dengannya, aku tidak peduli lagi"
Terjemahkan ke bahasa Indonesia baku.,Tapi lama lama sa mulai rasa,Tapi lama-lama aku mulai merasakan
Terjemahkan ke bahasa Indonesia baku.,Kalo ko tu tra pernah ada rasa,Bahwa kamu tidak pernah punya perasaan
Terjemahkan ke bahasa Indonesia baku.,Semua ko buang percuma,Kamu buang semua itu sia-sia
Terjemahkan ke bahasa Indonesia baku.,Sa mau koi ko mau dia,"Aku mau kamu, tapi kamu mau dia"
Terjemahkan ke bahasa Indonesia baku.,Sa su berjuang tapi sa kalah,"Aku sudah berjuang, tapi aku kalah"
Terjemahkan ke bahasa Indonesia baku.,Sa sayang koi ko cinta dia,"Aku sayang kamu, tapi kamu cinta dia"
Terjemahkan ke bahasa Indonesia baku.,Biar sudah sayang sa mengalah,"Meskipun aku sayang, aku akan mengalah"
Terjemahkan ke bahasa Indonesia baku.,"Oh hell no, f~ck you n~gga let you know","Oh hell no, biar kamu tahu"
Terjemahkan ke bahasa Indonesia baku.,Sa tra nganteng sama deng ko,Diri aku tidak sekeren kamu
Terjemahkan ke bahasa Indonesia baku.,Datang culik langsung go,"Kamu datang, culik, langsung pergi"
Terjemahkan ke bahasa Indonesia baku.,Dasar setan alas ko,"Dasar kamu itu jahat, alasanku?"
Terjemahkan ke bahasa Indonesia baku.,"Ko tra lebih dari sapa mo, ey",Kamu tidak lebih dari siapa-siapa
Terjemahkan ke bahasa Indonesia baku.,"Baru kam sey barus,Awas sa mabuk kaka de sey","Begitu kamu, hati-hati aku bisa mabuk karenamu"
Terjemahkan ke bahasa Indonesia baku.,Sa mengalah karna di ending sa su kalah,Aku mengalah karena pada akhirnya aku kalah
Terjemahkan ke bahasa Indonesia baku.,Kam bahagia dengan terpaksa sa kasi salam,"Kamu bahagia dengan terpaksa, aku pamit"
Terjemahkan ke bahasa Indonesia baku.,Biar sudah sayang sa mengalah,"Meskipun aku sayang, aku terpaksa mengalah"
Terjemahkan ke bahasa Indonesia baku.,Jangan ko pigi dan menghilang,Jangan kamu pergi dan menghilang
Terjemahkan ke bahasa Indonesia baku.,Ya kalo sa salah tolong diubah,"Jika aku salah, tolong diperbaiki"
Terjemahkan ke bahasa Indonesia baku.,Bukannya ko langsung berubah,Tetapi kamu langsung berubah begitu saja
Terjemahkan ke bahasa Indonesia baku.,Ko mo cari yang bagaimana,Kamu ingin mencari seperti apa
Terjemahkan ke bahasa Indonesia baku.,Ko mo dapat juga dimana,Kamu ingin dapat di mana pun
Terjemahkan ke bahasa Indonesia baku.,Biar ko sampe ke ujung dunia,Biar kamu mencapai ujung dunia
Terjemahkan ke bahasa Indonesia baku.,Yang mengerti ko tu cuma saya,Yang memahami kamu hanya saya
Terjemahkan ke bahasa Indonesia baku.,Ko sombong sampe stelan lupa sa,Kamu sombong sampai lupa aku
Terjemahkan ke bahasa Indonesia baku.,Bila ada waktu mari tong berbincang,"Jika ada waktu, mari kita bicara"
Terjemahkan ke bahasa Indonesia baku.,Sio ade nona jang ko hilang hilang,"Sayangku, jangan kamu pergi berulang kali"
Terjemahkan ke bahasa Indonesia baku.,Yang lebih dari,Apa yang lebih dari aku
Terjemahkan ke bahasa Indonesia baku.,Sa ini sudah yang paling mengerti,Aku ini yang paling memahami
Terjemahkan ke bahasa Indonesia baku.,Dari baik buruk tangkis ko pu beu,"Dari baik maupun buruk, hadapi kamu sendiri"
Terjemahkan ke bahasa Indonesia baku.,Enak macam papeda deng heu,Enak seperti papeda dan ikan bakar (istimewa)
Terjemahkan ke bahasa Indonesia baku.,Sa yang tau cara kas senang,Aku yang tahu bagaimana membuatmu bahagia
Terjemahkan ke bahasa Indonesia baku.,Untuk jalan pica bunga,Khususnya jalan yang menipu ke mana pun
Terjemahkan ke bahasa Indonesia baku.,Sa yang su mengerti dong su tau sa punya,"Aku yang sudah memahami, kamu tahu aku milikmu"
Terjemahkan ke bahasa Indonesia baku.,Mo sakit bagaimana,Apa rasa sakitmu seperti apa
Terjemahkan ke bahasa Indonesia baku.,Ko tra akan lupa saya,Kamu tidak akan melupakan aku
Terjemahkan ke bahasa Indonesia baku.,Sa yang su kopeng harga diri lapis belis,Aku yang pegang harga diri berlapis-lapis
Terjemahkan ke bahasa Indonesia baku.,Ko pu manja goyang lidah sambil angkat alis,"Kamu manja, goyang lidah sambil senyum menggoda"
Terjemahkan ke bahasa Indonesia baku.,Kalo bosan kasi tau ko pu cara jang menghilang,"Jika bosan, beri tahu, jangan kamu menghilang tiba-tiba"
Terjemahkan ke bahasa Indonesia baku.,Tetap ada sa dan ko akan kembali,Aku tetap di sini dan kamu akan kembali
Terjemahkan ke bahasa Indonesia baku.,Sampe cara kas nyaman pun cuman sa saja yang mengerti,Sampai bagaimana membuatmu nyaman pun hanya aku yang tahu
Terjemahkan ke bahasa Indonesia baku.,Yeiy cinta ni ko punya,Yeiy cinta yang kamu punya
Terjemahkan ke bahasa Indonesia baku.,Mo cari sampe dimana tetap sa ni ko pu rumah,"Sampai ke mana pun kamu mencari, aku adalah rumahmu"
Terjemahkan ke bahasa Indonesia baku.,Semuanya indah tinggal ko pu suka,Semuanya indah tinggal kamu suka
Terjemahkan ke bahasa Indonesia baku.,Cukardeleng sayang koi main apa e,"Sayang, kamu main apa itu?"
Terjemahkan ke bahasa Indonesia baku.,Ko pu busuk sa tau ko pu katu sa tau,"Kamu busuk, aku tahu; kamu berkata, aku tahu"
Terjemahkan ke bahasa Indonesia baku.,Ko pigi baru begemana kalo aroolu jauh,"Kamu pergi, lalu bagaimana jika kamu terlalu jauh"
Terjemahkan ke bahasa Indonesia baku.,Ko cari kalo memang ada yang seperti,Jika memang ada yang seperti itu kamu cari
Terjemahkan ke bahasa Indonesia baku.,Sa sayang slalu sayang dan paling mengerti,"Aku sayang, tetap sayang, dan paling mengerti"
Terjemahkan ke bahasa Indonesia baku.,Adoo ko jahat patah sa pu hati Aduh,"kamu jahat, hancurkan hati aku"
Terjemahkan ke bahasa Indonesia baku.,Mo bagaimana pun tetap ko minta ampun,"Bagaimanapun itu, kamu tetap minta maaf"
Terjemahkan ke bahasa Indonesia baku.,Tuhan su menuntun ko pu sa yang anggun,Tuhan sudah menuntunmu pada cinta yang anggun
Terjemahkan ke bahasa Indonesia baku.,Siapapun tak bertahan ko pu ego beruntun,Tak ada yang bertahan karena ego beruntun
Terjemahkan ke bahasa Indonesia baku.,Tanya dong pasti bilang ko wanita beruntung,"Coba tanya, pasti dia akan bilang kamu wanita beruntung"
Terjemahkan ke bahasa Indonesia baku.,Yo bunuh sa pu hati demi ko pu kesenangan,Ini membunuh hati aku demi kesenanganmu
Terjemahkan ke bahasa Indonesia baku.,Tara tipu tapi jang ko bikin tinggal kenangan,Bukan bohong tapi jangan kamu tinggalkan hanya kenangan
Terjemahkan ke bahasa Indonesia baku.,Sa pun yang selalu melengkapi tiap kekurangan,Aku yang selalu melengkapi kekuranganmu
Terjemahkan ke bahasa Indonesia baku.,Karna ko deng sa sama-sama bahagia,Karena kamu dan aku sama-sama bahagia
Terjemahkan ke bahasa Indonesia baku.,Ludah-ludah dong yang tra suka,Ludah-ludah untuk mereka yang tidak suka
Terjemahkan ke bahasa Indonesia baku.,Ko pi cari yang lain sudah,Kamu pergi cari yang lain saja
Terjemahkan ke bahasa Indonesia baku.,Jang ko datang toki dengan ko pu drama,Jangan datang dengan drama-drama kamu
Terjemahkan ke bahasa Indonesia baku.,Sio tabe sayang ko tabuang,"Maaf sayang, aku kasih kamu duluan"
Terjemahkan ke bahasa Indonesia baku.,Jang ganggu yang itu sa punya jang ganggu,"Jangan ganggu, itu yang aku punya, jangan ganggu"
Terjemahkan ke bahasa Indonesia baku.,Tabe di tra usah main ganas,Maaf tapi tidak perlu main kasar
Terjemahkan ke bahasa Indonesia baku.,Maaf de pu hati sayang deluan kasih ko,"Maaf dari hati, sayang, aku beri kamu duluan"
Terjemahkan ke bahasa Indonesia baku.,Tuani saja jang coba datang par mo ganggu,Jadi jangan coba datang hanya untuk mengganggu
Terjemahkan ke bahasa Indonesia baku.,Ini sa pu leide cinta buat crazy,Ini cintaku teruntai gila untukmu
Terjemahkan ke bahasa Indonesia baku.,Jang takut seng ada yang lain,"Jangan takut, aku tidak akan berpaling"
Terjemahkan ke bahasa Indonesia baku.,Nyong jaga hati jang mo tester nanti lain masuk testi,Aku jaga hati agar tester tidak masuk nanti
