instruction,input,output
Terjemahkan ke bahasa Indonesia baku.,Pigi dan trakan bikin sa game,Pergi dan tidak membuatku kuat lagi
Terjemahkan ke bahasa Indonesia baku.,Sa mo coba ulang e,Saya mau coba ulangi ya
Terjemahkan ke bahasa Indonesia baku.,Ko bisa bantu sa ka?,Kamu bisa bantu saya ya
Terjemahkan ke bahasa Indonesia baku.,Persetan omongan dong,Lupakan omongan orang
Terjemahkan ke bahasa Indonesia baku.,Please we jang tahan,Tolong jangan ditahan
Terjemahkan ke bahasa Indonesia baku.,Gaya sana sini jadi joki-joki,Gayanya di mana-mana seperti pemain cadangan
Terjemahkan ke bahasa Indonesia baku.,Tra perlu bicara cukup sa mabo,"Tak perlu bicara, cukup aku mabuk"
Terjemahkan ke bahasa Indonesia baku.,Dorang baca buku novel,Mereka membaca novel
Terjemahkan ke bahasa Indonesia baku.,sio ade nona jang ko hilang-hilang,aduh nona jangan menghilang-hilang
Terjemahkan ke bahasa Indonesia baku.,Lemon nipis taguling-guling,"Lemon tipis, berguling-guling"
Terjemahkan ke bahasa Indonesia baku.,Topik kali ini beda andaikan koker,"Kali ini pembahasannya lain, seperti acak"
Terjemahkan ke bahasa Indonesia baku.,Sa baru makan,Saya baru saja makan
Terjemahkan ke bahasa Indonesia baku.,Jadi sa pergi acara,Jadi saya pergi menghadiri acara
Terjemahkan ke bahasa Indonesia baku.,"Say, oh oh oh, oh oh","Say, oh oh oh, oh oh"
Terjemahkan ke bahasa Indonesia baku.,Tapi ko masih mo kasi tunjuk ego,Kamu masih mau pamerkan egomu
Terjemahkan ke bahasa Indonesia baku.,Eh aduh kaka yang baju hitam,"Wah, kakak yang berbaju hitam"
Terjemahkan ke bahasa Indonesia baku.,Sa membaca koran,Saya membaca koran
Terjemahkan ke bahasa Indonesia baku.,Ko bikin sa baper sampe cape,Kamu buat aku baper sampai capek
Terjemahkan ke bahasa Indonesia baku.,Tra usah jadi pengganggu,Tidak perlu jadi pengganggu
Terjemahkan ke bahasa Indonesia baku.,Ambe,Ambil
Terjemahkan ke bahasa Indonesia baku.,Bilang sa bilang oke,Ukapkan aku bilang oke
Terjemahkan ke bahasa Indonesia baku.,Ko mau minum?,Apakah kamu mau minum?
Terjemahkan ke bahasa Indonesia baku.,Ko masih sa pu love woo uooo,"Kamu masih aku cintai, woo uooo"
Terjemahkan ke bahasa Indonesia baku.,Jangan susah tra ganggu,Jangan ganggu jika kamu tidak serius
Terjemahkan ke bahasa Indonesia baku.,Sa su bilang de tu cuma singgah,Aku sudah bilang dia itu cuma singgah
Terjemahkan ke bahasa Indonesia baku.,Dorang ke kampus bareng teman,Mereka pergi ke kampus bersama teman
Terjemahkan ke bahasa Indonesia baku.,Gyawas,Jambu biji
Terjemahkan ke bahasa Indonesia baku.,Coba kas kluar isi saku,Coba keluarkan isi sakumu
Terjemahkan ke bahasa Indonesia baku.,Ko kenapa diam?,Mengapa kamu diam?
Terjemahkan ke bahasa Indonesia baku.,Sa ni juga ganteng,Aku juga ganteng
Terjemahkan ke bahasa Indonesia baku.,Sa nih su berjuang aiss percuma,"Aku sudah berjuang, tapi semuanya sia-sia"
Terjemahkan ke bahasa Indonesia baku.,Ko tinggal mo marah minta pisah yo,Kamu tinggal ingin marah dan minta pisah ya
Terjemahkan ke bahasa Indonesia baku.,Beso,Besok
Terjemahkan ke bahasa Indonesia baku.,Tra bisa bicara yang baik padahal su bilang sa ni sayang ko,Kamu tak bisa bicara baik padahal sudah bilang aku sayang
Terjemahkan ke bahasa Indonesia baku.,Tapi sa malu mo kas tau,Tapi aku malu untuk mengatakannya
Terjemahkan ke bahasa Indonesia baku.,Sa hidangkan pasti enak di telinga,Aku sajikan pasti enak di telinga
Terjemahkan ke bahasa Indonesia baku.,Fly kaco tara pusing suasana,"Pergi gila-gilaan, tidak peduli suasana"
Terjemahkan ke bahasa Indonesia baku.,Sa punya sisah eyy,Aku masih punya sisanya
Terjemahkan ke bahasa Indonesia baku.,Sa ke mall sama teman,Saya pergi ke mall bersama teman
Terjemahkan ke bahasa Indonesia baku.,sa yang su mengerti dong su tau ko sa punya,aku yang sudah mengerti mereka sudah tahu kamu milikku
Terjemahkan ke bahasa Indonesia baku.,Aya,saya
Terjemahkan ke bahasa Indonesia baku.,Karna ko deng sa sama-sama bahagia,Karena kamu dan aku sama-sama bahagia
Terjemahkan ke bahasa Indonesia baku.,Cerek,"Tempat air minum yg bercerat, dibuat dr tembaga, kaleng, dsb."
Terjemahkan ke bahasa Indonesia baku.,Sa tanya mama,Saya bertanya pada ibu
Terjemahkan ke bahasa Indonesia baku.,Sani su berjuang juga ais percuma,Aku sudah berjuang tapi tetap percuma
Terjemahkan ke bahasa Indonesia baku.,Tra mau tra mau lagi deng ko,"Tidak mau, tidak mau lagi dengan kamu"
Terjemahkan ke bahasa Indonesia baku.,Adoh su poex kam pu baku tipu,Hati ini terluka karena kamu membohongiku
Terjemahkan ke bahasa Indonesia baku.,Bandar jang bingung disitu,Bandar jangan bingung di situ
Terjemahkan ke bahasa Indonesia baku.,Sampe sini sa su paham,Sampai di sini aku sudah paham
Terjemahkan ke bahasa Indonesia baku.,Baku rangkul cinta sa pikul,Aku akan memeluk dan memikul cintaku
Terjemahkan ke bahasa Indonesia baku.,Biar sa begini tra usah ko ragu,"Biar saya begini, kamu jangan ragu."
Terjemahkan ke bahasa Indonesia baku.,ko tra usah pikir takaruang tentang sa,kamu tak perlu khawatir tentang aku
Terjemahkan ke bahasa Indonesia baku.,Kan sa jaga,Aku akan menjaga
Terjemahkan ke bahasa Indonesia baku.,Bus-bus,Semak belukar
Terjemahkan ke bahasa Indonesia baku.,Blom / Blom,Belum
Terjemahkan ke bahasa Indonesia baku.,Ado kaka menyerah kalo ade ko marah,Aduh kakak menyerah kalau adik marah
Terjemahkan ke bahasa Indonesia baku.,Baku sayang tong abadi,Cinta kita abadi
Terjemahkan ke bahasa Indonesia baku.,"Koi enak eh, habis polo de baru mo polo saya","Kamu enak ya, habis pacari dia baru mau pacari aku"
Terjemahkan ke bahasa Indonesia baku.,Ko mau ikut?,Apakah kamu ingin ikut?
Terjemahkan ke bahasa Indonesia baku.,ko pu siak ko pu sk ak,kebiasaanmu aku sudah hafal
Terjemahkan ke bahasa Indonesia baku.,Dusu,Kejar
Terjemahkan ke bahasa Indonesia baku.,Janji tra mungkin sa ingkari,Janji tidak mungkin saya ingkari.
Terjemahkan ke bahasa Indonesia baku.,Trada baju baru di kamar,Tidak ada baju baru di kamar
Terjemahkan ke bahasa Indonesia baku.,Dorang ke warung beli air,Mereka pergi ke warung membeli air
Terjemahkan ke bahasa Indonesia baku.,Ah pele sa tra tau mungkin su deng lain hati,"Aku tidak tahu, mungkin kamu sudah dengan yang lain"
Terjemahkan ke bahasa Indonesia baku.,Sio sama koi oke baby,"Kalau sama kamu, oke sayang"
Terjemahkan ke bahasa Indonesia baku.,Sa tra suka ko marah-marah,Saya tidak suka jika kamu marah-marah
Terjemahkan ke bahasa Indonesia baku.,Tabe di tra usah main ganas,Maaf tapi tidak perlu main kasar
Terjemahkan ke bahasa Indonesia baku.,Nanti sa balik,Nanti saya kembali
Terjemahkan ke bahasa Indonesia baku.,Ade yang itu boleh sa mau,Orang itu boleh aku miliki
Terjemahkan ke bahasa Indonesia baku.,Sa akan pergi ke sekolah,Saya akan pergi ke sekolah
Terjemahkan ke bahasa Indonesia baku.,Gula,Tipu / gombal
Terjemahkan ke bahasa Indonesia baku.,setia pikir ko,selalu memikirkanmu
Terjemahkan ke bahasa Indonesia baku.,Cuki,bersetubuh
Terjemahkan ke bahasa Indonesia baku.,Trada susu hangat di kulkas,Tidak ada susu hangat di kulkas
Terjemahkan ke bahasa Indonesia baku.,Sio ade nona jang ko hilang hilang,"Sayangku, jangan kamu pergi berulang kali"
Terjemahkan ke bahasa Indonesia baku.,Tong main basket sore,Kami bermain basket sore
Terjemahkan ke bahasa Indonesia baku.,Datang culik langsung go,"Kamu datang, culik, langsung pergi"
Terjemahkan ke bahasa Indonesia baku.,Sa mo tidur dulu,Saya mau tidur dulu
Terjemahkan ke bahasa Indonesia baku.,"ya kalo sa salah, tolong di ubah","ya kalau aku salah, tolong diperbaiki"
Terjemahkan ke bahasa Indonesia baku.,Bela / Bla,"1. Belah, 2. Pukul"
Terjemahkan ke bahasa Indonesia baku.,Oh mungkin iri ka apa,Oh mungkin iri atau bagaimana
Terjemahkan ke bahasa Indonesia baku.,Bilang pada sa kalo rindu,Bilang pada saya kalau rindu.
Terjemahkan ke bahasa Indonesia baku.,Fui-fui,Guna-guna (ilmu menyentet)
Terjemahkan ke bahasa Indonesia baku.,Sa pergi ke kantor pos,Saya pergi ke kantor pos
Terjemahkan ke bahasa Indonesia baku.,Beta mau pigi pasar kah?,Saya mau pergi ke pasar?
Terjemahkan ke bahasa Indonesia baku.,Trada listrik di sekolah tong,Tidak ada listrik di sekolah kami
Terjemahkan ke bahasa Indonesia baku.,Trada baju baru di lemari kam,Tidak ada baju baru di lemari mereka
Terjemahkan ke bahasa Indonesia baku.,Selesai tara mau sama ko,"Sudah selesai, aku tidak mau lagi sama kamu"
Terjemahkan ke bahasa Indonesia baku.,Foya,Tipu
Terjemahkan ke bahasa Indonesia baku.,Yanina doni fakor reksoi,(Tidak dapat diterjemahkan dialek/arti tidak jelas)
Terjemahkan ke bahasa Indonesia baku.,Trakan mabuk lagi kawan,"Tidak akan mabuk lagi, kawan"
Terjemahkan ke bahasa Indonesia baku.,Sa mau ikut bermain bola,Saya ingin ikut bermain bola
Terjemahkan ke bahasa Indonesia baku.,Ya kalo sa salah tolong diubah,"Jika aku salah, tolong diperbaiki"
Terjemahkan ke bahasa Indonesia baku.,Sa buru-buru,Saya sedang terburu-buru
Terjemahkan ke bahasa Indonesia baku.,Gamas,gemas
Terjemahkan ke bahasa Indonesia baku.,ko sombong sampe stelan lupa sa,kamu sombong sampai gayanya lupa aku
Terjemahkan ke bahasa Indonesia baku.,Sa pigi dulu,Saya pergi dulu
Terjemahkan ke bahasa Indonesia baku.,Trada air panas di kamar,Tidak ada air panas di kamar
Terjemahkan ke bahasa Indonesia baku.,Aga mane ndiago,Menggetarkan hatiku
Terjemahkan ke bahasa Indonesia baku.,Tapi karna ko punya ego ado,Tapi karena egomu sendiri
Terjemahkan ke bahasa Indonesia baku.,Pigi pigi ko ikut ko pu Mau pergi-pergi,"kamu ikut, kau pun ikut juga"
Terjemahkan ke bahasa Indonesia baku.,Ale,Kamu
Terjemahkan ke bahasa Indonesia baku.,"Boh sayang, ko itu sa punya","Kekasih, kamu itu milikku"
Terjemahkan ke bahasa Indonesia baku.,Gula-gula,Permen
Terjemahkan ke bahasa Indonesia baku.,Sa pergi ke kantor,Saya pergi ke kantor
Terjemahkan ke bahasa Indonesia baku.,Baby sa ni tra mampu,Sayang aku sudah tidak sanggup
Terjemahkan ke bahasa Indonesia baku.,Ko bilang apa barusan? kah?,Apa yang kamu bilang tadi??
Terjemahkan ke bahasa Indonesia baku.,Kita bakudapa di jalan tadi.,Kita bertemu di jalan tadi.
Terjemahkan ke bahasa Indonesia baku.,Beta mau pigi pasar,Saya mau pergi ke pasar
Terjemahkan ke bahasa Indonesia baku.,Sa capek,Saya lelah
Terjemahkan ke bahasa Indonesia baku.,Gosi,alat kelamin pria (kadang sebagai makian)
Terjemahkan ke bahasa Indonesia baku.,Ko kasih semua ni berantakan baby,"Kamu hancurkan semua ini, sayang"
Terjemahkan ke bahasa Indonesia baku.,Pigi jo pigi jo deng dia ey,"Pergilah, pergilah bersama dia"
Terjemahkan ke bahasa Indonesia baku.,Oh tra bisa,Aku tidak bisa
Terjemahkan ke bahasa Indonesia baku.,Sa mau koi ko mau dia,"Aku mau kamu, tapi kamu mau dia"
Terjemahkan ke bahasa Indonesia baku.,Fly tingkat tinggi habis tambah lagi (Nana nana na..),Terbang tinggi habis tambah lagi (Nana nana na..)
Terjemahkan ke bahasa Indonesia baku.,Ba-,ber-
Terjemahkan ke bahasa Indonesia baku.,Anana dong anana dong su mabo,"Anana dong, anana dong, hanya khayalan"
Terjemahkan ke bahasa Indonesia baku.,Bokor,Pinggan besar yg cekung dan bertepi lebar
Terjemahkan ke bahasa Indonesia baku.,Mari jalan deng Yale,Ayo jalan bareng Yale
Terjemahkan ke bahasa Indonesia baku.,Farek,Tidak peduli
Terjemahkan ke bahasa Indonesia baku.,Sa tunjuk ko,Saya akan menunjukkan kepadamu
Terjemahkan ke bahasa Indonesia baku.,apalagi baku tipu koi,apalagi menipumu
Terjemahkan ke bahasa Indonesia baku.,Tra usah ikut e,Tidak usah ikut ya
Terjemahkan ke bahasa Indonesia baku.,Sa beli ikan,Saya membeli ikan
Terjemahkan ke bahasa Indonesia baku.,Dong su pergi e,Mereka sudah pergi ya
Terjemahkan ke bahasa Indonesia baku.,Sa mau ko juga peduli,Aku mau kamu juga peduli
Terjemahkan ke bahasa Indonesia baku.,Tapi sa diam,Tapi aku diam
Terjemahkan ke bahasa Indonesia baku.,Tra papa,Tidak apa-apa
Terjemahkan ke bahasa Indonesia baku.,Sa masak nasi,Saya memasak nasi
Terjemahkan ke bahasa Indonesia baku.,Yeah nah ko pigi cari,"Ya, kamu pergi mencari"
Terjemahkan ke bahasa Indonesia baku.,Dara,Darah
Terjemahkan ke bahasa Indonesia baku.,Bobo,Minuman keras lokal dari pohon bobo / mayang enau
Terjemahkan ke bahasa Indonesia baku.,Ko hati-hati,Kamu hati-hati
Terjemahkan ke bahasa Indonesia baku.,Trada listrik di kampus,Tidak ada listrik di kampus
Terjemahkan ke bahasa Indonesia baku.,Sa ke pasar,Saya pergi ke pasar
Terjemahkan ke bahasa Indonesia baku.,Baku tambah ambil satu,"Tambahkan lagi, ambil satu"
Terjemahkan ke bahasa Indonesia baku.,tarakan sa kasih tinggal koi,aku tidak akan meninggalkanmu
Terjemahkan ke bahasa Indonesia baku.,Tra puas ka ko bikin sa begini,Tak puas kah kamu bikin aku begini
Terjemahkan ke bahasa Indonesia baku.,Jii bah dar,Lebih baik pergi dari sini
Terjemahkan ke bahasa Indonesia baku.,Tapi ko pilih bubar,Tapi kamu memilih pergi
Terjemahkan ke bahasa Indonesia baku.,Dong su pergi,Mereka sudah pergi
Terjemahkan ke bahasa Indonesia baku.,Dong su baku pukul di lapangan.,Mereka sudah berkelahi di lapangan
Terjemahkan ke bahasa Indonesia baku.,Balobe,Mencari ikan pada malam hari tanpa menyelam
Terjemahkan ke bahasa Indonesia baku.,Ko bawa de cukardeleng,se ko bawa de
Terjemahkan ke bahasa Indonesia baku.,Garis,Korek Api
Terjemahkan ke bahasa Indonesia baku.,Gandeng cinta Anjani,"Bergandenglah cinta, Anjani"
Terjemahkan ke bahasa Indonesia baku.,Eje go wea,Ayo pergi kemana
Terjemahkan ke bahasa Indonesia baku.,Ko bawa apa?,Kamu membawa apa?
Terjemahkan ke bahasa Indonesia baku.,Dapa,Dapat
Terjemahkan ke bahasa Indonesia baku.,Sa jalan-jalan,Saya sedang jalan-jalan
Terjemahkan ke bahasa Indonesia baku.,"Farek deng ko, perem awer","Sudah cukup, aku menyerah"
Terjemahkan ke bahasa Indonesia baku.,"Goyang, goyang, goyang","Goyang, goyang, goyang"
Terjemahkan ke bahasa Indonesia baku.,Ko masak apa?,Kamu memasak apa?
Terjemahkan ke bahasa Indonesia baku.,Sa mo love de unconditionally,Aku ingin mencintainya tanpa syarat
Terjemahkan ke bahasa Indonesia baku.,Ko tra usah kuatir,Kamu tidak usah khawatir
Terjemahkan ke bahasa Indonesia baku.,Flow menari-nari nyalakan tanda warning,"Alunan lagu menari-nari, nyalakan tanda peringatan"
Terjemahkan ke bahasa Indonesia baku.,Dari lama tong geladi,Dari dulu aku bermimpi
Terjemahkan ke bahasa Indonesia baku.,Dan abaikan rasa,Dan abaikan rasa itu
Terjemahkan ke bahasa Indonesia baku.,Faiman indo,semangat!
Terjemahkan ke bahasa Indonesia baku.,Gora,Jambu Kepal / Bol
Terjemahkan ke bahasa Indonesia baku.,kaka tra ada di rumah,Kakak tidak ada di rumah
Terjemahkan ke bahasa Indonesia baku.,Tulang ni lombo-lombo,Tulang ini gemetar
Terjemahkan ke bahasa Indonesia baku.,Tong baru baku dapat,Hubungan yang baru saja kita mulai
Terjemahkan ke bahasa Indonesia baku.,Ko kenapa marah?,Mengapa kamu marah?
Terjemahkan ke bahasa Indonesia baku.,Sa bermain bola,Saya bermain bola
Terjemahkan ke bahasa Indonesia baku.,Gatotel,genit
Terjemahkan ke bahasa Indonesia baku.,Sa berhasil,Saya berhasil
Terjemahkan ke bahasa Indonesia baku.,Au,kamu
Terjemahkan ke bahasa Indonesia baku.,Amber,"Orang Berada (Pegawai negeri, Karyawan di perusaan), Pendatang"
Terjemahkan ke bahasa Indonesia baku.,Dormommo tiap minggu kaco oh,Di Dormommo tiap minggu ramai
Terjemahkan ke bahasa Indonesia baku.,Cintaku ini jangan kau ragu,Cintaku ini jangan kamu ragukan.
Terjemahkan ke bahasa Indonesia baku.,Bar,"Baru, lalu"
Terjemahkan ke bahasa Indonesia baku.,Balompat,Melompat
Terjemahkan ke bahasa Indonesia baku.,Gode,gendut / gemuk
Terjemahkan ke bahasa Indonesia baku.,Ko sepak jauhjauh,Kamu sepak jauhjauh
Terjemahkan ke bahasa Indonesia baku.,Ko sepak jauh-jauh,Kamu sepak jauhjauh
Terjemahkan ke bahasa Indonesia baku.,Ko su ada dia jadi kemang pantasan,Kau sudah bersama dia jadi memang pantas
Terjemahkan ke bahasa Indonesia baku.,Sembunyi baku dapa e,Bersembunyi untuk bertemu
Terjemahkan ke bahasa Indonesia baku.,Berger,Gelas bertangkai yang terbuat dari seng atau tembaga
Terjemahkan ke bahasa Indonesia baku.,"Roi befnak, bape yakara na",(Makna: doa agar tetap bahagia meski berpisah)
Terjemahkan ke bahasa Indonesia baku.,Ade,adik
Terjemahkan ke bahasa Indonesia baku.,Ko pu kecupan,Kecupanmu
Terjemahkan ke bahasa Indonesia baku.,Macam mo umwah mwah mwah,wah seperti ingin mencium-kecup
Terjemahkan ke bahasa Indonesia baku.,Ko bikin sa trust,Kamu bikin saya percaya
Terjemahkan ke bahasa Indonesia baku.,Sa mo tidur dulu e,Saya mau tidur dulu ya
Terjemahkan ke bahasa Indonesia baku.,Eh mace injak gas sampe rem su blong,Hei nona injak gas sampai remnya blong
Terjemahkan ke bahasa Indonesia baku.,CT (Cap Tikus),miras lokal
Terjemahkan ke bahasa Indonesia baku.,Ko buat apa tadi?,Apa yang kamu lakukan tadi?
Terjemahkan ke bahasa Indonesia baku.,Tiap kali buka IG,Setiap kali membuka Instagram
Terjemahkan ke bahasa Indonesia baku.,Amakane wawawa,Amakane wawawa
Terjemahkan ke bahasa Indonesia baku.,"Yo sa pikir-pikir cara baru, cari de pu slak","Saya berpikir cara baru, cari waktu longgar"
Terjemahkan ke bahasa Indonesia baku.,Tong latihan piano,Kami latihan piano
Terjemahkan ke bahasa Indonesia baku.,Su bukan sa lagi yang panggil ko sayang,Aku bukan lagi yang memanggilmu sayang
Terjemahkan ke bahasa Indonesia baku.,Dorang / Dong,Mereka
Terjemahkan ke bahasa Indonesia baku.,Bakalai / Bakulai / Bakulipa,"Berkelahi, berantem"
Terjemahkan ke bahasa Indonesia baku.,Sa berbicara pelan,Saya berbicara pelan
Terjemahkan ke bahasa Indonesia baku.,Sa ingat waktu dulu,Aku ingat waktu dulu
Terjemahkan ke bahasa Indonesia baku.,Anana,Anak-anak
Terjemahkan ke bahasa Indonesia baku.,Batariaak,Berteriak
Terjemahkan ke bahasa Indonesia baku.,Ko jaga baik-baik,Jaga dengan baik
Terjemahkan ke bahasa Indonesia baku.,Gas su jangan lama-lama,Ayo jalan jangan lama-lama
Terjemahkan ke bahasa Indonesia baku.,Trada air panas di dapur,Tidak ada air panas di dapur
Terjemahkan ke bahasa Indonesia baku.,Ko su menyapu halaman?,Apakah kamu menyapu halaman?
Terjemahkan ke bahasa Indonesia baku.,Ko pu senyuman,Senyummu
Terjemahkan ke bahasa Indonesia baku.,Sa mau di rumah saja,Saya ingin tinggal di rumah saja
Terjemahkan ke bahasa Indonesia baku.,Baweto,Marah-marah
Terjemahkan ke bahasa Indonesia baku.,Sungla brikan nona,Sungla brikan nona (Sungguh kudedikasikan nona)
Terjemahkan ke bahasa Indonesia baku.,Apa lagi de su mabuk jalan deng de pu anana,Bahkan mereka jalan sambil mabuk bersama teman mereka
Terjemahkan ke bahasa Indonesia baku.,Ko pu tatapan,Tatapanmu
Terjemahkan ke bahasa Indonesia baku.,Bale,Balik
Terjemahkan ke bahasa Indonesia baku.,Ko dengar baik,Dengar baik-baik
Terjemahkan ke bahasa Indonesia baku.,"Tra boleh baku marah, pace mace sio kasihan","Kita tidak boleh saling bermusuhan, itu menyakitkan"
Terjemahkan ke bahasa Indonesia baku.,Jalan sombong arah-arah kampong,Jalan sombong menuju kampung
Terjemahkan ke bahasa Indonesia baku.,Ko ada pake-pake kapa,Ada pesona yang membuat terpikat
Terjemahkan ke bahasa Indonesia baku.,Deng,Dengan
Terjemahkan ke bahasa Indonesia baku.,Hey pusing awer,Aku pusing sekali
Terjemahkan ke bahasa Indonesia baku.,Su timbul rasa ini sumpah-sumpah,"Rasa ini muncul, sungguh tulus"
Terjemahkan ke bahasa Indonesia baku.,Sa deng dia jadian,Aku dan dia bisa menjadi pasangan
Terjemahkan ke bahasa Indonesia baku.,Afker / Afkir,Kadaluarsa
Terjemahkan ke bahasa Indonesia baku.,Trada minyak goreng di dapur tong,Tidak ada minyak goreng di dapur kami
Terjemahkan ke bahasa Indonesia baku.,Goyang,Dansa / Menari
Terjemahkan ke bahasa Indonesia baku.,Sa su stay dengan dia dari lama,Aku sudah bersama dia sejak lama
Terjemahkan ke bahasa Indonesia baku.,Hati yang sedih,Hati yang sedih
Terjemahkan ke bahasa Indonesia baku.,Beranak / branak,Melahirkan
Terjemahkan ke bahasa Indonesia baku.,"Crazy, amazing","Gila, luar biasa"
Terjemahkan ke bahasa Indonesia baku.,Trada kopi di dapur,Tidak ada kopi di dapur
Terjemahkan ke bahasa Indonesia baku.,Ko hadapi,Kamu menghadapi
Terjemahkan ke bahasa Indonesia baku.,Ey ye ye beb sa ijin eh,"Halo, izin dulu ya (sapa santai)"
Terjemahkan ke bahasa Indonesia baku.,Ko su siap?,Apakah kamu sudah siap?
Terjemahkan ke bahasa Indonesia baku.,Tra seperti dulu,Tidak seperti dulu
Terjemahkan ke bahasa Indonesia baku.,Omong kosong,Ungkapan kosong itu
Terjemahkan ke bahasa Indonesia baku.,Su cap sedang nona,Sudah cukup nona
Terjemahkan ke bahasa Indonesia baku.,Persetan omong kosong,Diam pada omong kosong
Terjemahkan ke bahasa Indonesia baku.,"Kam dua yang pu trip, sio saja kapa","Kalian berdua cocok, biarlah begitu"
Terjemahkan ke bahasa Indonesia baku.,Ko su dengar musik?,Apakah kamu mendengar musik?
Terjemahkan ke bahasa Indonesia baku.,Dia su kawin e,Dia sudah menikah ya
Terjemahkan ke bahasa Indonesia baku.,Kalo de su deng ko sa malas tau,"Jika dia sudah dengannya, aku tidak peduli lagi"
Terjemahkan ke bahasa Indonesia baku.,Dorang main gitar di sore hari,Mereka bermain gitar di sore hari
Terjemahkan ke bahasa Indonesia baku.,Ko kenal dia?,Apakah kamu mengenalnya?
Terjemahkan ke bahasa Indonesia baku.,Ko laki kaget baru bilang hoki-hoki,Pacarmu kaget baru bilang beruntung-beruntung
Terjemahkan ke bahasa Indonesia baku.,Percuma selama ini setia (setia),Percuma selama ini aku setia
Terjemahkan ke bahasa Indonesia baku.,ioo sumpah pele,"iya, sungguh sayang"
Terjemahkan ke bahasa Indonesia baku.,Cakadidi,centil / genit
Terjemahkan ke bahasa Indonesia baku.,Mo bestel ato kali,Mau mencoba lagi nanti
Terjemahkan ke bahasa Indonesia baku.,Ah pleh cinta sa ada ni Anjani,"Aku rela mencintaimu sepenuh hati, Anjani"
Terjemahkan ke bahasa Indonesia baku.,Dorang ke pasar beli ikan,Mereka pergi ke pasar membeli ikan
Terjemahkan ke bahasa Indonesia baku.,Sa masih ingat ko pu senyum yang bikin,Aku masih ingat senyummu yang indah itu
Terjemahkan ke bahasa Indonesia baku.,Sa lapar skali,Saya sangat lapar
Terjemahkan ke bahasa Indonesia baku.,Sadar sudah ka dara,"Sudah sadar, nona"
Terjemahkan ke bahasa Indonesia baku.,Sa menyerah,Aku menyerah
Terjemahkan ke bahasa Indonesia baku.,Dorang su datang,Mereka sudah datang
Terjemahkan ke bahasa Indonesia baku.,Dorang ke warung kopi sore,Mereka pergi ke warung kopi sore
Terjemahkan ke bahasa Indonesia baku.,Ko su ngobrol sama dorang bel?,Apakah kamu ngobrol sama mereka?
Terjemahkan ke bahasa Indonesia baku.,Ko masih jadi kekasih,Kamu masih jadi kekasih.
Terjemahkan ke bahasa Indonesia baku.,Sa tra ke Bong,Saya tidak pergi ke sana
Terjemahkan ke bahasa Indonesia baku.,Anjani-anjani ko saja yang temani,Anjani Anjani kamu saja yang temani
Terjemahkan ke bahasa Indonesia baku.,Kimai sei ey,Aduh sayang
Terjemahkan ke bahasa Indonesia baku.,Apalagi buang muka kaka gelisah,"Bahkan saat kamu membuang muka, aku gelisah"
Terjemahkan ke bahasa Indonesia baku.,Ko kasih hancur,Kamu hancurkan (semuanya)
Terjemahkan ke bahasa Indonesia baku.,Sa baru pulang e,Saya baru pulang ya
Terjemahkan ke bahasa Indonesia baku.,Samasama nafsu,Sama-sama bernafsu
Terjemahkan ke bahasa Indonesia baku.,Jadi jalan su deng de muka lucu,Akhirnya aku pergi dengan muka tertawa tapi hati sakit
