input,output
Sa tra suka ko marah-marah,Saya tidak suka jika kamu marah-marah
Ko ada bikin apa,Sedang apa kamu di sana
Kas putus rem,Meskipun rem hubungan putus
Persetan omongan dong,Lupakan omongan orang
Tong masak mie goreng,Kami memasak mie goreng
Memang harus fly biar sa tenang,Memang harus terbang agar aku tenang
Ko bilang apa barusan?,Apa yang kamu bilang tadi?
Tapi mungkin de yang ko impikan,Tapi mungkin dia yang kamu impikan
"Tempel tapi sulo, damn hey","Ditempel tapi tetap lepas, ya ampun"
Ko mau pergi kemana?,Kamu ingin pergi ke mana?
Jang lupa cari sa,Jangan lupa cari aku
Sa tra sombong,Aku tidak sombong
Dorang ke kantor pos,Mereka pergi ke kantor pos
Yang ko simpan,Yang kamu sembunyikan
Ko tra perlu sesali,Kamu tidak perlu sesali
Ko bikin sa trust,Kamu bikin saya percaya
Jangan bocor ka dara,"Jangan asal ngomong, hati-hati"
Jujur ko tra serius,Jujur kamu tidak serius
Oh Tuhan tolong doa sa Sorong,"Oh Tuhan, tolong doakan aku di Sorong"
Sembunyi baku dapa e,Bersembunyi untuk bertemu
Oh adoh-adoh jang ganggu,"Aduh, jangan ganggu"
Su tra lagi tong baku sapa,Lambat laun kita tak lagi saling menyapa
Hoama usua,Ke arah manapun
Ko mau minum?,Apakah kamu mau minum?
Yanina doni fakor reksoi,(Tidak dapat diterjemahkan dialek/arti tidak jelas)
Karna su laju tapi ko rem,Karena hubungan sudah berjalan tapi kamu malah berhenti
Ko bisa tolong?,Bisakah kamu membantu?
Senandung lagu ini untuk dia,Lagu ini ku nyanyikan untuk dia
Sibuk de punya diri,Kamu terlalu sibuk dengan diri sendiri
dimana ko? sa rindu ko,di mana kamu? aku rindu kamu
Ko mau ikut?,Apakah kamu ingin ikut?
Tapi sa diam,Tapi aku diam
Tong baru baku dapat,Hubungan yang baru saja kita mulai
"Ko tra lebih dari sapa mo, ey",Kamu tidak lebih dari siapa-siapa
Ko su mandi?,Apakah kamu sudah mandi?
Ko pigi ke kampus?,Apakah kamu pergi ke kampus?
Ada yang different,Ada yang berbeda
Trada listrik di sekolah,Tidak ada listrik di sekolah
Aman saja mo ngapain mo repot,"Santai saja, mau ngapain repot-repot"
Canda nyaman,Canda yang nyaman
Sa buru-buru,Saya sedang terburu-buru
Bela / Bla,"1. Belah, 2. Pukul"
Ko su jalan sama dorang bel?,Apakah kamu jalan bersama mereka?
Sa mau ko juga peduli,Aku mau kamu juga peduli
kaka tra ada di rumah,Kakak tidak ada di rumah
Trada listrik di ruang tamu,Tidak ada listrik di ruang tamu
Omong kosong,Ungkapan kosong itu
Jika mantan anda mulai minta balikan,Jika mantan mulai minta balikan
Tra usah ikut e,Tidak usah ikut ya
(Chorus diulang) Manseren jaga tong pu tanah ini kasihan,Manseren jaga kami yang tinggal di tanah ini penuh kasih
Trada minyak goreng tong,Tidak ada minyak goreng di rumah kami
Calling sa tara usah pake drama,Telepon aku tidak usah pakai drama
Ko bawa de cukardeleng,se ko bawa de
Sa ke mall sama tong,Saya pergi ke mall bersama kami
Su cap sedang nona,Sudah cukup nona
Sa fly..,Aku terbang.. (fly)
Jang percaya lidah sagu,Jangan terpengaruh omongan orang
Sa tra nganteng sama deng ko,Diri aku tidak sekeren kamu
Cintaku ini jangan kau ragu,Cintaku ini jangan kamu ragukan.
Bisa sa mati,Aku rela mati
Aga itane ndiago,Seolah menggetarkan jiwa
Ko tolong tambah deng maki-maki begitu ado,Kamu tambah maki-maki begitu sudah ada
Baku rangkul cinta sa pikul,Aku akan memeluk dan memikul cintaku
Ko sepak jauh-jauh,Kamu sepak jauhjauh
"Farek deng ko, perem awer","Sudah cukup, aku menyerah"
terakhir sa tarakan go,sampai akhir aku tidak akan pergi
Tiap kali buka IG,Setiap kali membuka Instagram
Aeh biar sudah sa permisi lewat,"Ya sudah, aku pamit pergi"
yeah nah ko pigi cari,ya sudah kamu pergi cari
Jang hilang hilang sabar eh sayang,"Jangan menghilang, tetaplah sabar, sayang"
Huff baby ko pu mulut mau amis,Huff sayang mulutmu amis
Ko pu manis itu sungguh menawan,Manismu sungguh memikat
Su cap sa deng nona,Su cap sa deng nona (Aku bertemu nona)
"Hm, jadi coba paksa berdiri saja","Ayo, coba paksa diri berdiri saja"
Kaget cinta deng ko pele,Sangat terkejut dengan cintamu
Temani sa tidur sono,Temani aku tidur di sana
Dorang ke kantor siang,Mereka pergi ke kantor siang
Ko sombong sampe stelan lupa sa,Kamu sombong sampai lupa aku
Trada air di sumur depan,Tidak ada air di sumur depan
Ko satu kali,Kamu satu kali
Yooo melangkah jauh lebih baik,"Yup, melangkah menjauh lebih baik"
Tong jemur pakaian di teras,Kami menjemur pakaian di teras
Bandar jang bingung disitu,Bandar jangan bingung di situ
Sa mau koi ko mau dia,"Aku mau kamu, tapi kamu mau dia"
Sa tra suka begitu,Saya tidak suka seperti itu
Kaget-kaget tosa kan ikat ko,Kaget-kaget aku akan ikat kamu
Nikmat ni sedap ye Asmter Gank,"Nikmat ini sedap, dari Amster Gank"
Bah kawan sa maetua orang salah,"Aduh kawan, orangtuaku salah paham"
Trada listrik mati di sekolah,Tidak ada listrik di sekolah
Sa pergi ke kantor pos,Saya pergi ke kantor pos
Sa su losten koe,Jangan ragu lagi
Ludah-ludah dong yang tra suka,Ludah-ludah untuk mereka yang tidak suka
Plis ka jangan-jangan Anjani angan-jangan,Tolong jangan-jangan Anjani jangan-jangan
Coba terbuka hari ini,Cobalah jujur hari ini
Hambak dempet to rasa feeling pas,Aku mendekat tepat saat perasaannya pas
Trada air bersih di rumah,Tidak ada air bersih di rumah
Pasti sa curhat lagi depan mic,Pasti aku curhat lagi di depan mic
Dorang ke warung kopi sore,Mereka pergi ke warung kopi sore
Ade yang itu boleh sa mau,Orang itu boleh aku miliki
Trada air di sumur,Tidak ada air di sumur
Anjani-anjani ko saja yang temani,Anjani Anjani kamu saja yang temani
Su bukan baru,Ini bukan hal baru lagi
Ko tra usah kuatir,Kamu tidak usah khawatir
Sa pergi ke sekolah,Saya pergi ke sekolah
Dong butuh selimut untuk tutup dong pu dingin,Mereka butuh pelindung untuk menutupi dingin mereka
Dong lihat sa senang dong tra suka,"Mereka lihat aku senang, mereka tidak suka"
Jii bah dar,Lebih baik pergi dari sini
Trada susu hangat di kulkas,Tidak ada susu hangat di kulkas
Sadar sudah ka dara,"Sudah sadar, nona"
Pas mana ada yang bisa gantikan,Tidak ada yang bisa menggantikan
Ambilnya di lupa,"Ambil saja, biar lupa"
Hambak dempet ko rasa filling pas,Hambat dekat kamu rasanya pas
Oh tra bisa,Aku tidak bisa
Urat jantung patah-patah,Nadi jantung terasa hancur berkeping
Eh ampun sa tra bisa tahan,"Aduh, aku tidak bisa menahan diri"
Sa akan pergi ke sekolah,Saya akan pergi ke sekolah
Anana dong anana dong su mabo,"Anana dong, anana dong, hanya khayalan"
Ko punya mau itu buat sa binggung,Keinginanmu itu membuat aku bingung
Sa kan ikat ko,Aku akan mengikatmu
Jang lanjut chat nanti laba,Jangan lanjut chat nanti rugi
Cinta ka sayang,"Cinta itu, sayang"
Dorang ke kantor sore,Mereka pergi ke kantor sore
Dan trakan terganti.. sa tetap menanti,Dan meski terganti aku tetap menanti
Dorang masak ayam goreng,Mereka memasak ayam goreng
Pikir apa sa yang masukan,Pikir apa yang aku masukkan
Cinta menjamin sperti dirahim,Cinta menjamin seperti di dalam rahim
Semoga semoga bahagia,Semoga kamu bahagia
Sa jalan-jalan,Saya sedang jalan-jalan
Teang gelap,Sinar dalam gelap
"Enak, play song lagu disko dong","Enak, putar lagu disko lah"
Katanya dia mau perbaiki,Dia bilang dia mau memperbaiki
Bagaimana sa mo peduli,Gimana saya bisa peduli
Bilang sa bilang oke,Ukapkan aku bilang oke
Ko bikin sa baper sampe cape,Kamu buat aku baper sampai capek
Sesuai ato kali,Mungkin memang untuk aku
Cinta sepenggal ini de bikin gila lalala,Cinta sepotong ini membuatku gila lalala
Persetan omong kosong,Diam pada omong kosong
Tra usah jadi pengganggu,Tidak perlu jadi pengganggu
Pigi jo pigi jo deng dia ey,"Pergilah, pergilah bersama dia"
Su tagepe-gepe ade nona sudah gepe,Kita sudah tertaut hati meski dia belum sadar
Yang penting ko berani,Yang penting kamu berani
Ko tra usah kuatir e,Kamu tidak usah khawatir ya
Memang tra sempurna sa beri untuk ko,Memang aku tak sempurna memberikan ini untukmu
Cuma ko ada jauh,Hanya saja kamu berada jauh
Arah-arah kampong,Menuju ke kampong bersama
Karna sa lihat ko deng dia,Karena aku lihat kamu dengan dia
Please we jang tahan,Tolong jangan ditahan
Kan sa jaga,Aku akan menjaga
Su kaya uji nyali,Seperti mencoba keberanian
Ko yang tau ko pu rumah,Kamu yang tahu segala di rumahku
Sa su hafal mati,Aku benar-benar hafal
Tapi ko su lain,Tapi kamu sudah berubah
"Cuma khayalan saja, tra papa","Hanya khayalan saja, tak apa"
Gandeng cinta Anjani,"Bergandenglah cinta, Anjani"
de buat apa e?,dia bikin apa ya?
Tra balas sa pu pesan,Tidak membalas pesan saya.
Sudah lah sa mo lanjut siram,"Sudah, saya lanjut saja"
Ko pikir semua itu cuma jalan,Kamu pikir semua itu hanya jalan.
Semakin banyak kisah yang torang ukir,Semakin banyak kisah yang kita ukir bersama
Masih ada yang lebih layak,Masih banyak yang lebih pantas
mo stelan jurus remot andalan apa bilang,mau gaya jurus remot andalan apa bilang saja
Tra usah menyesal kalo dia ko tinggalkan,Tak perlu menyesal saat kamu tinggalkan dia
Masalah budget itu gampang,Masalah biaya itu gampang
Mungkin sa ni kurang jadi begini,"Mungkin aku yang kurang, makanya jadi begini"
Cinta sepanggal ini de bikin gila lalala,Cinta sepotong ini membuatku gila
Sedih dan galau datang mengganggu,Sedih dan galau datang mengganggu.
Cinta dan resah itu pelengkapnya,Cinta dan resah itu pelengkapnya.
Jang bikin sa pusing ko e,Jangan bikin saya pusing kamu y
Jang ada slak-slak tahan sa dulu,"Jangan ribet, tahan saya dulu"
Sekian sa liat demikian ko buat,Setter lihat apa yang kamu lakukan
Kejar sementara kalau berafiliasi butuh gaji,Berlomba saat hubungan butuh nafkah
Ko su tau sa pu hati ini benar-benar cinta,Aku tahu hati ini benar-benar mencintai
Ngaewa moni pane k,Untukmu uang dan waktu
"Ko tau aman saja, kaka yang tangkis","Kamu aman saja, ada saya yang selalu ada"
Ko kasih sa luka,Kamu menyakiti saya
Deal to gandeng nona,Deal to gandeng nona (Ayo bergandeng tangan nona)
Eje go wea,Ayo pergi kemana
Haus kasih sayang,Kehausan akan kasih sayang
Move fast deng anana,Bergerak cepat dengan khayalan
Baku sayang tong abadi,Saling sayang kita abadi
Ko pu cara e,Cara kamu itu
Ayolah men otw ke situ,"Ayo, kita berangkat ke sana"
Deal to tasket nona,Deal to tasket nona (Jalani untuk cintamu nona)
Tong pergi ke sekolah pagi,Kami pergi ke sekolah pagi
Biar sa yang terluka,Biar aku yang terluka
"Cukup sampe di sini, kan jadi sa pu bini","Cukup sampai di sini, kamu akan jadi istriku"
Hanya sa yang ko perlu,Hanya aku yang kamu butuh
Ko pu sempurna bikin sa terlena,Kamu begitu sempurna sampai aku terpesona
"Tra boleh baku marah, pace mace sio kasihan","Kita tidak boleh saling bermusuhan, itu menyakitkan"
Tanya dong pasti bilang ko wanita beruntung,"Coba tanya, pasti dia akan bilang kamu wanita beruntung"
Mungkin satu dari kam su bosan,Mungkin salah satu dari kalian sudah bosan
Jadi kalau hambak nanti jadi lepe-lepe,Jadi jika aku mendekat nanti kaukan goyah
Cinta harus kuat dan sabar menunggu,Cinta harus kuat dan sabar menunggu.
Tong masak nasi goreng,Kami memasak nasi goreng
Trada listrik di sekolah tong,Tidak ada listrik di sekolah kami
Kalo ko bisa sa relakan semua,"Kalau kamu mau, aku relakan semuanya"
Trada hujan trada oh,"Tidak ada hujan, tidak ada halangan"
Cinta bahkan harap akan hati,Cinta bahkan harapan dalam hati
Tapi ko buat tong dua jadi bakalai,Tapi kamu buat hubungan kita jadi bubar
Amin dengan ko,Amin untuk kita
Sa antar ko,Saya mengantar kamu
Ko mengerti?,Apakah kamu mengerti?
Aduh sio eh macam tra mampu,"Aduh sayang, rasanya tak mampu"
Trada kopi di dapur kam,Tidak ada kopi di dapur mereka
Kas jadi sa deng ko pu cinta baru kokoh,Cinta kita menjadi kuat dan kokoh
Sampe sa fly..,Sampai aku terbang.. (fly)
Sung lah tong dua jadian,Akhirnya kita berdua jadi pasangan
Tapi ko pilih bubar,Tapi kamu memilih pergi
Trakan pernah jadi amin yang sama,Tidak akan pernah jadi doa yang sama
Datang ke sa tapi sa yang jaga apa,Datang padaku tapi apa yang aku jaga
Biasa sa cinta coba ko pahami,"Biasa saya cinta, coba kamu pahami."
Dorang ke warung beli air,Mereka pergi ke warung membeli air
Su timbul rasa ini sumpah-sumpah,"Sudah muncul rasa ini, sungguh-sungguh"
Ada something kapa e,"Ada sesuatu, apa itu?"
Bisakah terima ini dengan tenang,Bisakah kamu menerima ini dengan tenang
