instruction,source,target
Terjemahkan ke bahasa Indonesia baku.,Ko kuat kah?,Apakah kamu kuat?
Terjemahkan ke bahasa Indonesia baku.,Ko bawa apa?,Kamu membawa apa?
Terjemahkan ke bahasa Indonesia baku.,Sa beli ikan,Saya membeli ikan
Terjemahkan ke bahasa Indonesia baku.,Sa beli buah,Saya membeli buah
Terjemahkan ke bahasa Indonesia baku.,Sa bangga ko,Saya bangga padamu
Terjemahkan ke bahasa Indonesia baku.,Sa ambil air,Saya mengambil air
Terjemahkan ke bahasa Indonesia baku.,Omong kosong,Ungkapan kosong itu
Terjemahkan ke bahasa Indonesia baku.,Ko sa minati,Kamu yang aku ingini
Terjemahkan ke bahasa Indonesia baku.,Sa ke warung,Saya pergi ke warung
Terjemahkan ke bahasa Indonesia baku.,Ko mengerti?,Apakah kamu mengerti?
Terjemahkan ke bahasa Indonesia baku.,Ko mau ikut?,Apakah kamu ingin ikut?
Terjemahkan ke bahasa Indonesia baku.,Ko su mandi?,Apakah kamu sudah mandi?
Terjemahkan ke bahasa Indonesia baku.,Ko su tidur?,Apakah kamu sudah tidur?
Terjemahkan ke bahasa Indonesia baku.,Sa tunjuk ko,Saya akan menunjukkan kepadamu
Terjemahkan ke bahasa Indonesia baku.,Tra usah ikut,Tidak usah ikut
Terjemahkan ke bahasa Indonesia baku.,Ko dari mana?,Kamu dari mana?
Terjemahkan ke bahasa Indonesia baku.,Dan ko dengar,Dan kamu dengar
Terjemahkan ke bahasa Indonesia baku.,Sa minta maaf,Saya minta maaf
Terjemahkan ke bahasa Indonesia baku.,Sa jujur saja,Saya jujur saja
Terjemahkan ke bahasa Indonesia baku.,Sa hanya diam,Saya hanya diam
Terjemahkan ke bahasa Indonesia baku.,Sa mandi sore,Saya mandi sore
Terjemahkan ke bahasa Indonesia baku.,Ko bikin apa?,Kamu sedang apa?
Terjemahkan ke bahasa Indonesia baku.,Sulit sa rasa,Sulit aku rasakan
Terjemahkan ke bahasa Indonesia baku.,Ko masak apa?,Kamu memasak apa?
Terjemahkan ke bahasa Indonesia baku.,Bersama kisah,Dengan semua kisah
Terjemahkan ke bahasa Indonesia baku.,Ko ingat kah?,Apakah kamu ingat?
Terjemahkan ke bahasa Indonesia baku.,Ko duduk sini,Kamu duduk di sini
Terjemahkan ke bahasa Indonesia baku.,Ko lapar kah?,Apakah kamu lapar?
Terjemahkan ke bahasa Indonesia baku.,Sa beli sayur,Saya membeli sayur
Terjemahkan ke bahasa Indonesia baku.,Sa percaya ko,Saya percaya padamu
Terjemahkan ke bahasa Indonesia baku.,Sa teman lama,Dia teman lama saya
Terjemahkan ke bahasa Indonesia baku.,Sa ambil kopi,Saya mengambil kopi
Terjemahkan ke bahasa Indonesia baku.,De su kawin e,Dia sudah menikah ya
Terjemahkan ke bahasa Indonesia baku.,Sa baru makan,Saya baru saja makan
Terjemahkan ke bahasa Indonesia baku.,Sa baru mandi,Saya baru mandi pagi
Terjemahkan ke bahasa Indonesia baku.,Ko mau minum?,Apakah kamu mau minum?
Terjemahkan ke bahasa Indonesia baku.,Sa tanya mama,Saya bertanya pada ibu
Terjemahkan ke bahasa Indonesia baku.,Su bukan baru,Ini bukan hal baru lagi
Terjemahkan ke bahasa Indonesia baku.,Ko lihat itu?,Apakah kamu melihat itu?
Terjemahkan ke bahasa Indonesia baku.,Ko kenal dia?,Apakah kamu mengenalnya?
Terjemahkan ke bahasa Indonesia baku.,Anjani Anjani,"Cinta ini untukmu, Anjani"
Terjemahkan ke bahasa Indonesia baku.,Ko su pulang?,Apakah kamu sudah pulang?
Terjemahkan ke bahasa Indonesia baku.,Ko su keluar?,Apakah kamu sudah keluar?
Terjemahkan ke bahasa Indonesia baku.,Ko ikut trend,Kamu cuma ikut-ikutan tren
Terjemahkan ke bahasa Indonesia baku.,Kas putus rem,Meskipun rem hubungan putus
Terjemahkan ke bahasa Indonesia baku.,Ko dengar sa?,Apakah kamu mendengar saya?
Terjemahkan ke bahasa Indonesia baku.,Amin dengan ko,Amin untuk kita
Terjemahkan ke bahasa Indonesia baku.,Sa masih setia,Aku masih setia
Terjemahkan ke bahasa Indonesia baku.,Dan sa berduka,Dan aku bersedih
Terjemahkan ke bahasa Indonesia baku.,Sa mandi malam,Saya mandi malam
Terjemahkan ke bahasa Indonesia baku.,Sa menonton TV,Saya menonton TV
Terjemahkan ke bahasa Indonesia baku.,Sa makan siang,Saya makan siang
Terjemahkan ke bahasa Indonesia baku.,Sa mandi cepat,Saya mandi cepat
Terjemahkan ke bahasa Indonesia baku.,Sa lapar skali,Saya sangat lapar
Terjemahkan ke bahasa Indonesia baku.,de buat apa e?,dia bikin apa ya?
Terjemahkan ke bahasa Indonesia baku.,Sa tra sombong,Aku tidak sombong
Terjemahkan ke bahasa Indonesia baku.,Tra usah takut,Tidak perlu takut
Terjemahkan ke bahasa Indonesia baku.,Nanti sa balik,Nanti saya kembali
Terjemahkan ke bahasa Indonesia baku.,Sa tunggu lama,Saya menunggu lama
Terjemahkan ke bahasa Indonesia baku.,Sa kan ikat ko,Aku akan mengikatmu
Terjemahkan ke bahasa Indonesia baku.,Sa dengar tadi,Saya mendengar tadi
Terjemahkan ke bahasa Indonesia baku.,Dia su kawin e,Dia sudah menikah ya
Terjemahkan ke bahasa Indonesia baku.,Yang ko simpan,Yang kamu sembunyikan
Terjemahkan ke bahasa Indonesia baku.,Tara pusing ko,Saya tidak peduli kamu
Terjemahkan ke bahasa Indonesia baku.,Sa ambil minum,Saya mengambil minuman
Terjemahkan ke bahasa Indonesia baku.,Sa rindu ko 2x,Aku rindu kamu dua kali
Terjemahkan ke bahasa Indonesia baku.,Sa tra ke Bong,Saya tidak pergi ke sana
Terjemahkan ke bahasa Indonesia baku.,Sampe sa fly..,Sampai aku terbang.. (fly)
Terjemahkan ke bahasa Indonesia baku.,Ko su ke toko?,Apakah kamu pergi ke toko?
Terjemahkan ke bahasa Indonesia baku.,sa paling hafal,aku paling hafal
Terjemahkan ke bahasa Indonesia baku.,Cinta ka sayang,"Cinta itu, sayang"
Terjemahkan ke bahasa Indonesia baku.,Tra bisa terang,Tidak bisa terang
Terjemahkan ke bahasa Indonesia baku.,Hey pusing awer,Aku pusing sekali
Terjemahkan ke bahasa Indonesia baku.,Ko ada di mana?,Kamu ada di mana?
Terjemahkan ke bahasa Indonesia baku.,Ko jangan malas,Kamu jangan malas
Terjemahkan ke bahasa Indonesia baku.,Sa membeli buku,Saya membeli buku
Terjemahkan ke bahasa Indonesia baku.,Sa bermain bola,Saya bermain bola
Terjemahkan ke bahasa Indonesia baku.,Sa membeli roti,Saya membeli roti
Terjemahkan ke bahasa Indonesia baku.,Ko dari mana? e,Kamu dari mana? ya
Terjemahkan ke bahasa Indonesia baku.,Tra usah ikut e,Tidak usah ikut ya
Terjemahkan ke bahasa Indonesia baku.,Ko kenapa diam?,Mengapa kamu diam?
Terjemahkan ke bahasa Indonesia baku.,Sa senang skali,Saya sangat senang
Terjemahkan ke bahasa Indonesia baku.,Ko lambat skali,Kamu sangat lambat
Terjemahkan ke bahasa Indonesia baku.,Ko diam sedikit,Kamu diam sebentar
Terjemahkan ke bahasa Indonesia baku.,Barang apa juga,Masalah apa pun itu
Terjemahkan ke bahasa Indonesia baku.,Sa paling hafal,Aku paling mengerti
Terjemahkan ke bahasa Indonesia baku.,ioo sumpah pele,"iya, sungguh sayang"
Terjemahkan ke bahasa Indonesia baku.,yang lebih dari,yang lebih dari ini
Terjemahkan ke bahasa Indonesia baku.,Tra lagi rindap,Tidak lagi ada rindu
Terjemahkan ke bahasa Indonesia baku.,Jang lagi dekat,Jangan mendekat lagi
Terjemahkan ke bahasa Indonesia baku.,Dong su pergi e,Mereka sudah pergi ya
Terjemahkan ke bahasa Indonesia baku.,Penantian besar,Sebuah penantian besar
Terjemahkan ke bahasa Indonesia baku.,Ko bisa tolong?,Bisakah kamu membantu?
Terjemahkan ke bahasa Indonesia baku.,Ko gandeng lain,Kamu gandeng orang lain
Terjemahkan ke bahasa Indonesia baku.,Tapi ko su lain,Tapi kamu sudah berubah
Terjemahkan ke bahasa Indonesia baku.,Yang lebih dari,Apa yang lebih dari aku
Terjemahkan ke bahasa Indonesia baku.,Ko tra pikir sa,Kamu tidak pikirkan saya
Terjemahkan ke bahasa Indonesia baku.,Sesuai ato kali,Mungkin memang untuk aku
Terjemahkan ke bahasa Indonesia baku.,Ko kasih hancur,Kamu hancurkan (semuanya)
Terjemahkan ke bahasa Indonesia baku.,Sa tra mo kasih,Saya tidak mau memberikan
Terjemahkan ke bahasa Indonesia baku.,Ko su ke pasar?,Apakah kamu pergi ke pasar?
Terjemahkan ke bahasa Indonesia baku.,Sa su bilang ko,Saya sudah memberi tahu kamu
Terjemahkan ke bahasa Indonesia baku.,Sa ni sudah suka,Aku sudah suka
Terjemahkan ke bahasa Indonesia baku.,Bukan soal money,Bukan soal uang
Terjemahkan ke bahasa Indonesia baku.,Sio ade yang itu,Itulah orang itu
Terjemahkan ke bahasa Indonesia baku.,rindu rindu amis,rindu yang manis
Terjemahkan ke bahasa Indonesia baku.,Kaka tidak mampu,Kakak tidak mampu
Terjemahkan ke bahasa Indonesia baku.,Semakin dekat ko,Semakin dekat kamu
Terjemahkan ke bahasa Indonesia baku.,Ko hanya bermain,Kamu hanya bermain
Terjemahkan ke bahasa Indonesia baku.,Sa sudah selesai,Saya sudah selesai
Terjemahkan ke bahasa Indonesia baku.,Sa kesal sedikit,Saya sedikit kesal
Terjemahkan ke bahasa Indonesia baku.,Sa membaca novel,Saya membaca novel
Terjemahkan ke bahasa Indonesia baku.,Sa menulis surat,Saya menulis surat
Terjemahkan ke bahasa Indonesia baku.,Sa memasak sayur,Saya memasak sayur
Terjemahkan ke bahasa Indonesia baku.,Sa membeli sayur,Saya membeli sayur
Terjemahkan ke bahasa Indonesia baku.,Sa kasih tahu ko,Saya beri tahu kamu
Terjemahkan ke bahasa Indonesia baku.,Sa mo tidur dulu,Saya mau tidur dulu
Terjemahkan ke bahasa Indonesia baku.,Sa baru pulang e,Saya baru pulang ya
Terjemahkan ke bahasa Indonesia baku.,Ko kasih sa luka,Kamu menyakiti saya
Terjemahkan ke bahasa Indonesia baku.,Sekarang pigi ko,Sekarang kamu pergi
Terjemahkan ke bahasa Indonesia baku.,Dorang su datang,Mereka sudah datang
Terjemahkan ke bahasa Indonesia baku.,Ko kenapa marah?,Mengapa kamu marah?
Terjemahkan ke bahasa Indonesia baku.,Sa mo coba ulang,Saya mau coba ulangi
Terjemahkan ke bahasa Indonesia baku.,sa su hafal mati,aku sudah hafal mati
Terjemahkan ke bahasa Indonesia baku.,Dan abaikan rasa,Dan abaikan rasa itu
Terjemahkan ke bahasa Indonesia baku.,Sa yang harus go,Aku yang harus pergi
Terjemahkan ke bahasa Indonesia baku.,Ko tra bisa ikut,Kamu tidak bisa ikut
Terjemahkan ke bahasa Indonesia baku.,Sa su hafal mati,Aku benar-benar hafal
Terjemahkan ke bahasa Indonesia baku.,Ambilnya di lupa,"Ambil saja, biar lupa"
Terjemahkan ke bahasa Indonesia baku.,Su tra bisa lagi,Sudah tidak bisa lagi
Terjemahkan ke bahasa Indonesia baku.,Ko jangan bohong,Kamu jangan berbohong
Terjemahkan ke bahasa Indonesia baku.,Ko deng sa teman,Kamu adalah teman saya
Terjemahkan ke bahasa Indonesia baku.,Ko su minum teh?,Apakah kamu minum teh?
Terjemahkan ke bahasa Indonesia baku.,Intinya sa ingat,Intinya aku masih ingat
Terjemahkan ke bahasa Indonesia baku.,Ko ada bikin apa,Sedang apa kamu di sana
Terjemahkan ke bahasa Indonesia baku.,Urus kelakuan tu,Mengurus kelakuanmu itu
Terjemahkan ke bahasa Indonesia baku.,Sa tra deng dong,Saya tidak dengar mereka
Terjemahkan ke bahasa Indonesia baku.,Aga itane ndiago,Seolah menggetarkan jiwa
Terjemahkan ke bahasa Indonesia baku.,Temani hati loro,Temani hati yang terluka
Terjemahkan ke bahasa Indonesia baku.,Sa ke kantor pos,Saya pergi ke kantor pos
Terjemahkan ke bahasa Indonesia baku.,A gara ko bagara,"Karena kamu, aku terbakar"
Terjemahkan ke bahasa Indonesia baku.,Ko su baca buku?,Apakah kamu membaca buku?
Terjemahkan ke bahasa Indonesia baku.,Ko su beli roti?,Apakah kamu membeli roti?
Terjemahkan ke bahasa Indonesia baku.,Cuma ko ada jauh,Hanya saja kamu berada jauh
Terjemahkan ke bahasa Indonesia baku.,Ko tra mau ikut?,Apakah kamu tidak mau ikut?
Terjemahkan ke bahasa Indonesia baku.,Ko pu talenta mo,Kamu punya kelebihan sendiri
Terjemahkan ke bahasa Indonesia baku.,Ko su ke warung?,Apakah kamu pergi ke warung?
Terjemahkan ke bahasa Indonesia baku.,Ko su tanya dia?,Apakah kamu bertanya kepadanya?
Terjemahkan ke bahasa Indonesia baku.,Tong pu cinta ini,Cinta kita ini
Terjemahkan ke bahasa Indonesia baku.,Ko jaga baik-baik,Jaga dengan baik
Terjemahkan ke bahasa Indonesia baku.,Sa hadir untuk ko,Aku hadir untukmu
Terjemahkan ke bahasa Indonesia baku.,Sa berusaha setia,Aku berusaha setia
Terjemahkan ke bahasa Indonesia baku.,Ini bukan dirumah,Ini bukan di rumah
Terjemahkan ke bahasa Indonesia baku.,"Pergilah, sa rela","Pergilah, aku rela"
Terjemahkan ke bahasa Indonesia baku.,Ko dipanggil mama,Kamu dipanggil ibu
Terjemahkan ke bahasa Indonesia baku.,ko akan sa tunggu,aku akan menunggumu
Terjemahkan ke bahasa Indonesia baku.,Biar sa yang pigi,Biar aku yang pergi
Terjemahkan ke bahasa Indonesia baku.,Jang bicara keras,Jangan bicara keras
Terjemahkan ke bahasa Indonesia baku.,Sa libur hari ini,Saya libur hari ini
Terjemahkan ke bahasa Indonesia baku.,Sa suka musik pop,Saya suka musik pop
Terjemahkan ke bahasa Indonesia baku.,Sa berjalan cepat,Saya berjalan cepat
Terjemahkan ke bahasa Indonesia baku.,Sa pergi ke pasar,Saya pergi ke pasar
Terjemahkan ke bahasa Indonesia baku.,Jang lupa cari sa,Jangan lupa cari aku
Terjemahkan ke bahasa Indonesia baku.,Bolak balik dunia,Dunia berputar terus
Terjemahkan ke bahasa Indonesia baku.,Dorang marah kah?,Apakah mereka marah?
Terjemahkan ke bahasa Indonesia baku.,Jangan koi bangga,Jangan terlalu bangga
Terjemahkan ke bahasa Indonesia baku.,Sambut jaga cinta,Sambut dan jaga cinta
Terjemahkan ke bahasa Indonesia baku.,Cukup diikhlaskan,Cukup diikhlaskan saja
Terjemahkan ke bahasa Indonesia baku.,Sa cuma kasih tau,Aku hanya ingin bilang
Terjemahkan ke bahasa Indonesia baku.,Cinta cinta palsu,Cinta-cinta yang palsu
Terjemahkan ke bahasa Indonesia baku.,Ko suka ikan kah?,Apakah kamu suka ikan?
Terjemahkan ke bahasa Indonesia baku.,Sa jalan ke pasar,Saya berjalan ke pasar
Terjemahkan ke bahasa Indonesia baku.,Dorang ngopi pagi,Mereka minum kopi pagi
Terjemahkan ke bahasa Indonesia baku.,Sa tra suka itu e,Saya tidak suka itu yaa
Terjemahkan ke bahasa Indonesia baku.,Ko bikin sa trust,Kamu bikin saya percaya
Terjemahkan ke bahasa Indonesia baku.,Ko su mandi pagi?,Apakah kamu mandi pagi?
Terjemahkan ke bahasa Indonesia baku.,Ko su naik motor?,Apakah kamu naik motor?
Terjemahkan ke bahasa Indonesia baku.,Ko su minum susu?,Apakah kamu minum susu?
Terjemahkan ke bahasa Indonesia baku.,Pogapa ea puangga,Rasanya cinta yang besar
Terjemahkan ke bahasa Indonesia baku.,Sugapa ea puangga,Sungguh cinta yang dalam
Terjemahkan ke bahasa Indonesia baku.,Arah-arah kampong,Menuju ke kampong bersama
Terjemahkan ke bahasa Indonesia baku.,Haus kasih sayang,Kehausan akan kasih sayang
Terjemahkan ke bahasa Indonesia baku.,Su kaya uji nyali,Seperti mencoba keberanian
Terjemahkan ke bahasa Indonesia baku.,Ko su baca koran?,Apakah kamu membaca koran?
Terjemahkan ke bahasa Indonesia baku.,Ko su lihat film?,Apakah kamu menonton film?
Terjemahkan ke bahasa Indonesia baku.,Ko su jalan jauh?,Apakah kamu berjalan jauh?
Terjemahkan ke bahasa Indonesia baku.,Ko buat apa tadi?,Apa yang kamu lakukan tadi?
Terjemahkan ke bahasa Indonesia baku.,Sa jalan sama kam,Saya berjalan bersama mereka
Terjemahkan ke bahasa Indonesia baku.,Ade cantik pamali,Dia cantik sampai terasa tabu
Terjemahkan ke bahasa Indonesia baku.,Tiap kali buka IG,Setiap kali membuka Instagram
Terjemahkan ke bahasa Indonesia baku.,Kalo memang ko su,Jika memang kamu sungguh-sungguh
Terjemahkan ke bahasa Indonesia baku.,Sa pu salah dimana,Salahku di mana
Terjemahkan ke bahasa Indonesia baku.,Ko dari mana? kah?,Kamu dari mana??
Terjemahkan ke bahasa Indonesia baku.,Sa ni juga ganteng,Aku juga ganteng
Terjemahkan ke bahasa Indonesia baku.,Ada yang different,Ada yang berbeda
Terjemahkan ke bahasa Indonesia baku.,Su cap sedang nona,Sudah cukup nona
Terjemahkan ke bahasa Indonesia baku.,Ko antar sa pulang,Antar saya pulang
Terjemahkan ke bahasa Indonesia baku.,Tong latihan piano,Kami latihan piano
Terjemahkan ke bahasa Indonesia baku.,Beta baru pulang e,Saya baru pulang ya
Terjemahkan ke bahasa Indonesia baku.,Kala semua berubah,Semua mulai berubah
Terjemahkan ke bahasa Indonesia baku.,Ko jangan menangis,Kamu jangan menangis
Terjemahkan ke bahasa Indonesia baku.,Sa baru saja makan,Saya baru saja makan
Terjemahkan ke bahasa Indonesia baku.,Sa minum air putih,Saya minum air putih
Terjemahkan ke bahasa Indonesia baku.,Sa mendengar musik,Saya mendengar musik
Terjemahkan ke bahasa Indonesia baku.,Sa mendengar radio,Saya mendengar radio
Terjemahkan ke bahasa Indonesia baku.,Sa pergi ke kantor,Saya pergi ke kantor
Terjemahkan ke bahasa Indonesia baku.,Sa menonton berita,Saya menonton berita
Terjemahkan ke bahasa Indonesia baku.,Sa belajar menulis,Saya belajar menulis
Terjemahkan ke bahasa Indonesia baku.,Sa baru makan nasi,Saya baru makan nasi
Terjemahkan ke bahasa Indonesia baku.,Ko su ngobrol bel?,Apakah kamu ngobrol?
Terjemahkan ke bahasa Indonesia baku.,Ko su ke mall bel?,Apakah kamu ke mall?
Terjemahkan ke bahasa Indonesia baku.,Ko su main PS bel?,Apakah kamu main PS?
Terjemahkan ke bahasa Indonesia baku.,Ko su ke mall kam?,Apakah kamu ke mall?
Terjemahkan ke bahasa Indonesia baku.,Walau memang berat,Meskipun memang berat
Terjemahkan ke bahasa Indonesia baku.,Sa mo mandi dulu e,Saya mau mandi dulu ya
Terjemahkan ke bahasa Indonesia baku.,Sa mo tidur dulu e,Saya mau tidur dulu ya
Terjemahkan ke bahasa Indonesia baku.,Sa kasih tahu ko e,Saya beri tahu kamu ya
Terjemahkan ke bahasa Indonesia baku.,Ko lanjut deng dia,Kamu lanjut dengan dia
Terjemahkan ke bahasa Indonesia baku.,Pasti ko cari saya,Kamu pasti mencari aku
Terjemahkan ke bahasa Indonesia baku.,Sayang sa su lelah,Sayang aku sudah lelah
Terjemahkan ke bahasa Indonesia baku.,Trada air di sumur,Tidak ada air di sumur
Terjemahkan ke bahasa Indonesia baku.,Trada roti di meja,Tidak ada roti di meja
Terjemahkan ke bahasa Indonesia baku.,Trada kopi di meja,Tidak ada kopi di meja
Terjemahkan ke bahasa Indonesia baku.,Sa mo coba ulang e,Saya mau coba ulangi ya
Terjemahkan ke bahasa Indonesia baku.,Sa punya sisah eyy,Aku masih punya sisanya
Terjemahkan ke bahasa Indonesia baku.,Aya mok taman yaii,Hanya dia tempat hatiku
Terjemahkan ke bahasa Indonesia baku.,Jang lupa bawa itu,Jangan lupa membawa itu
Terjemahkan ke bahasa Indonesia baku.,Ko su main HP bel?,Apakah kamu bermain HP?
Terjemahkan ke bahasa Indonesia baku.,Ko tra usah kuatir,Kamu tidak usah khawatir
Terjemahkan ke bahasa Indonesia baku.,Ko hanya cinta dia,Kamu hanya mencintai dia
Terjemahkan ke bahasa Indonesia baku.,Ko su tidur siang?,Apakah kamu tidur siang?
Terjemahkan ke bahasa Indonesia baku.,Ko su makan malam?,Apakah kamu makan malam?
Terjemahkan ke bahasa Indonesia baku.,Sio sa su mo pergi,Jadi aku memang mau pergi
Terjemahkan ke bahasa Indonesia baku.,Sa datang sebentar,Saya datang sebentar lagi
Terjemahkan ke bahasa Indonesia baku.,Kaya menang medali,Seperti memenangkan medali
Terjemahkan ke bahasa Indonesia baku.,Ko beli sayur kah?,Apakah kamu membeli sayur?
Terjemahkan ke bahasa Indonesia baku.,Sa jalan sama tong,Saya berjalan bersama kami
Terjemahkan ke bahasa Indonesia baku.,Lain su tara mampo,"Lain aku, aku tidak sanggup"
Terjemahkan ke bahasa Indonesia baku.,Ko su jalan cepat?,Apakah kamu berjalan cepat?
Terjemahkan ke bahasa Indonesia baku.,Sa tidur tujuh jam,Saya tidur selama tujuh jam
Terjemahkan ke bahasa Indonesia baku.,Tra mau let you go,Saya tidak akan melepaskanmu
Terjemahkan ke bahasa Indonesia baku.,Ko pigi ke kampus?,Apakah kamu pergi ke kampus?
Terjemahkan ke bahasa Indonesia baku.,Sa su trakan tahan,Aku sudah tak sanggup menahan
Terjemahkan ke bahasa Indonesia baku.,Ah de bagus sekali,"Wah, dia sangat cantik sekali"
Terjemahkan ke bahasa Indonesia baku.,Ko su tahu berita?,Apakah kamu sudah tahu berita?
Terjemahkan ke bahasa Indonesia baku.,Ko su makan siang?,Apakah kamu sudah makan siang?
Terjemahkan ke bahasa Indonesia baku.,Bawa pulang ke Dok,Saya bawa pulang ke tempat awal (Dok)
Terjemahkan ke bahasa Indonesia baku.,Sungla brikan nona,Sungla brikan nona (Sungguh kudedikasikan nona)
Terjemahkan ke bahasa Indonesia baku.,I'm falling in love,aku jatuh cinta
Terjemahkan ke bahasa Indonesia baku.,Dil to gandeng nona,Peluk erat nona
Terjemahkan ke bahasa Indonesia baku.,Sadar sudah ka dara,"Sudah sadar, nona"
Terjemahkan ke bahasa Indonesia baku.,Sa lapar skali kah?,Saya sangat lapar?
Terjemahkan ke bahasa Indonesia baku.,Itu anak baik skali,Anak itu sangat baik
Terjemahkan ke bahasa Indonesia baku.,Sa ingat waktu dulu,Aku ingat waktu dulu
Terjemahkan ke bahasa Indonesia baku.,Dorang ketawa terus,Mereka terus tertawa
Terjemahkan ke bahasa Indonesia baku.,Dan memang ko salah,Dan memang kamu salah
Terjemahkan ke bahasa Indonesia baku.,mo jalan sampe mana,mau jalan sejauh mana
Terjemahkan ke bahasa Indonesia baku.,Cuma waktu yang tau,Hanya waktu yang tahu
Terjemahkan ke bahasa Indonesia baku.,Ko tinggal di mana?,Kamu tinggal di mana?
Terjemahkan ke bahasa Indonesia baku.,Sa belajar di rumah,Saya belajar di rumah
Terjemahkan ke bahasa Indonesia baku.,Sa minum teh hangat,Saya minum teh hangat
Terjemahkan ke bahasa Indonesia baku.,Sa pergi ke sekolah,Saya pergi ke sekolah
Terjemahkan ke bahasa Indonesia baku.,Karna sa sayang koi,Karena aku sayang kamu
Terjemahkan ke bahasa Indonesia baku.,dimana sa temani ko,di mana aku menemanimu
Terjemahkan ke bahasa Indonesia baku.,Sa juga rasa sayang,Aku juga merasa sayang
Terjemahkan ke bahasa Indonesia baku.,Kam minum teh manis,Mereka minum teh manis
Terjemahkan ke bahasa Indonesia baku.,Kam minum teh panas,Mereka minum teh panas
Terjemahkan ke bahasa Indonesia baku.,Beta mau pigi pasar,Saya mau pergi ke pasar
Terjemahkan ke bahasa Indonesia baku.,Dia su pigi sekolah,Dia sudah pergi sekolah
Terjemahkan ke bahasa Indonesia baku.,Jujur ko tra serius,Jujur kamu tidak serius
Terjemahkan ke bahasa Indonesia baku.,Sa pulang deng luka,Saya pulang dengan luka
Terjemahkan ke bahasa Indonesia baku.,Kalo deal kasi kode,"Jika sepakat, beri kode"
Terjemahkan ke bahasa Indonesia baku.,Tapi ko pilih bubar,Tapi kamu memilih pergi
Terjemahkan ke bahasa Indonesia baku.,Ko tra perlu sesali,Kamu tidak perlu sesali
Terjemahkan ke bahasa Indonesia baku.,Ko tra boleh begitu,Kamu tidak boleh begitu
Terjemahkan ke bahasa Indonesia baku.,Trada susu di rumah,Tidak ada susu di rumah
Terjemahkan ke bahasa Indonesia baku.,Trada kopi di dapur,Tidak ada kopi di dapur
Terjemahkan ke bahasa Indonesia baku.,Sa baca berita pagi,Saya membaca berita pagi
Terjemahkan ke bahasa Indonesia baku.,Sa baca buku cerita,Saya membaca buku cerita
Terjemahkan ke bahasa Indonesia baku.,Sa main PS sebentar,Saya bermain PS sebentar
Terjemahkan ke bahasa Indonesia baku.,Ko su sarapan pagi?,Apakah kamu sarapan pagi?
Terjemahkan ke bahasa Indonesia baku.,Ko su membeli ikan?,Apakah kamu membeli ikan?
Terjemahkan ke bahasa Indonesia baku.,Ko su membeli roti?,Apakah kamu membeli roti?
Terjemahkan ke bahasa Indonesia baku.,Tong ke pantai pagi,Kami pergi ke pantai pagi
